Group.1	1-AC-PMA	1-Abd-PMA	1-Abd	1-FH-PMA	1-FH	1-UB-PMA	1-UB	1-AC	2-AC-PMA	2-AC	2-FH-PMA	2-FH	2-PC-PMA	2-PC	2-UB-PMA	2-UB	3-AC-PMA	3-AC	3-Abd-PMA	3-Abd	3-FH-PMA	3-FH	3-PC-PMA	3-PC	3-UB-PMA	3-UB	4-AC-PMA	4-AC	4-FA-PMA	4-FA	4-FH-PMA	4-FH	4-PC-PMA	4-PC	4-UB-PMA	4-UB	5-AC-PMA	5-AC	5-FA-PMA	5-FA	5-FH-PMA	5-FH	5-PC-PMA	5-PC	5-UB-PMA	5-UB	6-AC-PMA	6-AC	6-FH-PMA	6-FH	6-PC-PMA	6-PC	6-UB-PMA	6-UB	7-FA-PMA	7-FA	7-FH-PMA	7-FH	7-PC-PMA	7-PC	7-UB-PMA	7-UB	8-AC-PMA	8-AC	8-Abd-PMA	8-Abd	8-FA-PMA	8-FA	8-FH-PMA	8-FH	8-PC-PMA	8-PC	8-UB-PMA	8-UB	9-AC-PMA	9-AC	9-FH-PMA	9-FH	9-PC-PMA	9-PC	10-Abd-PMA	10-Abd	10-FA-PMA	10-FA	10-FH-PMA	10-FH	10-UB-PMA	10-UB	11-AC-PMA	11-AC	11-FA-PMA	11-FA	11-FH-PMA	11-FH	11-PC-PMA	11-PC	11-UB-PMA	11-UB
Cutibacterium acnes	6262264	7320592	3285874	4142066	3653474	2832646	3791134	3337555	1239786	499572	2511074	2999465	212213	64481	4271210	3543460	51863	943069	5192227	5039831	2766980	1927352	1915663	2377849	2933664	2637454	2706324	2967823	2004588	3448945	8502416	3866713	509927	123987	8040049	4324465	6292442	12177589	7392944	6615835	3382404	3460297	5006688	2658347	10323247	1983048	3962427	4995977	2123803	4191021	870716	777838	704348	367392	4127302	5345085	5319546	3682991	484589	2389587	9916631	5113206	396856	413039	1845786	1622214	3392185	2021028	3785181	12542161	553123	468636	1431110	3901345	929030	1212087	2170912	389900	504291	419706	308350	785063	470308	149151	3231201	3250476	2812364	4469696	309251	59689	768613	738545	3195374	3111762	100564	93068	3130878	2915704
Cutibacterium granulosum	189225	110321.5	65910.5	75568	62158.5	1566317.5	1277681	144146	12513	10041	15342	25021	5220	993	96992	66078	1789	30405	8779	22355	1783	2180	18226	16763	3757	3935	242755	125080	51663	86446	96089	32584	13058	3505	1220268	324711	58939	118450	37948	57258	11918	13221	18916	15613	45750	4973	16957	20764	18169	26828	5787	4426	33470	9878	22800	28848	5357	4093	2542	14109	612026	114766	5632	4891	21553	17697	44396	23849	27570	45876	8930	7297	13569	35390	4720	7318	291498	18530	4540	5981	2427	14321	8563	4120	270041	79389	912566	351399	1104	351	5353	5568	274836	177453	1359	1224	342337	194009
Propionibacterium namnetense	31043.5	22225	9199	20913.5	22462	14538	15682.5	14960	7681	8548	11407	19010	3356	1065	39006	30969	40	10972	42167	50180	15746	13451	29547	33523	20897	17211	20396	28602	33730	55287	32990	16621	9109	2052	34139	16017	48419	84078	37856	32998	11974	12609	51585	24442	46714	6649	149414	215765	21408	38450	40969	46684	13450	6823	30365	32502	22278	15028	4611	11416	62810	29525	5085	4461	20358	15170	42097	23896	25495	105817	7589	6039	14535	37053	4246	9236	7377	6043	5315	6248	5739	13517	5554	3797	30912	30755	32074	47310	433	134	2290	1393	7791	6427	469	310	5242	5503
Micrococcus luteus	2940.5	655	476	375.5	337.5	293.5	611.5	2384	39215	70570	248	461	16961	5693	20985	8984	860	30718	67394	149152	130	860	209200	258559	1058	1984	89848	101096	27888	54288	2839	2252	56653	19759	459	725	23530	96075	93230	149023	845	1847	191810	178577	9907	1522	1748888	3659714	136609	326248	1030717	2057852	44276	20580	10286	7904	97	125	11032	15746	1987	503	26021	27205	14834	11553	70910	43940	1087	3623	27857	24757	9003	24374	282131	1070955	1270	75063	1132015	2039885	22798	94309	71610	21770	4672	5386	6079	9415	3405	1698	39241	36751	284	1311	12194	19563	912	3099
Propionibacterium humerusii	72474.5	60947.5	25584	35907.5	24003.5	19846	17249.5	37553	5679	3242	15330	17251	1724	266	10749	6932	4080	6622	118402	107669	63084	43284	26451	38621	65991	57017	18791	17221	8161	12753	45152	18937	2140	559	93266	35398	59742	109062	76081	63148	38483	39479	34921	18144	77191	10822	10729	7087	5083	9216	2615	1776	1065	484	35167	40358	62094	36219	3809	23378	62477	25647	1263	1112	6130	4405	10860	5458	9091	32220	1883	1395	5008	12295	2793	2958	12460	11269	2106	1355	1844	2524	3931	841	4987	2420	1494	861	1426	627	5789	4079	40811	27525	599	513	2788	3313
Corynebacterium aurimucosum	9846.5	1156	2093.5	5064.5	7916.5	282	591.5	15654	13648	7807	841	1935	9256	4939	3694	2571	1636	8220	50050	47100	572	3234	112487	165684	328	618	18315	23083	21824	35152	4698	2998	20287	4389	287	720	8945	36455	49277	64104	28434	87497	39749	35169	3607	991	52118	56944	8864	16050	71407	127519	1199	458	36590	43846	1928	3752	7931	45298	2986	1450	3937	4129	14628	12878	33457	20134	1353	6003	26635	30077	4135	10132	54635	189679	1437	15482	179122	231899	3691	29725	7462	4222	15531	17174	1756	2501	213	128	3182	3388	229	931	12416	12488	149	434
Staphylococcus capitis	1073	46	66.5	7227	6191	354.5	197	229	2858	1298	1206	1103	280	261	9514	3755	119	1668	6200	10106	1611	1189	27640	34384	81	132	4769	8354	3257	5838	3933	893	128653	13872	86	84	397	1058	6060	3703	681	520	9196	5679	2187	261	9002	8024	24423	11085	3535	2857	299	104	7193	4041	4693	3575	1186	3969	2536	618	693	746	3779	2274	5338	2591	28223	36980	1280	1704	9597	11614	4078	4594	2968	905	6852	6073	492	1897	2158	2178	8051	3476	1110	797	481	114	1381	636	86	68	2260	935	546	673
Cutibacterium avidum	4697.5	3845.5	1586	2258	1689	8236.5	6832.5	2446	932	596	1340	1481	429	465	1543	962	365	858	3204	4165	1670	1273	4395	8910	1799	1607	3619	3241	2207	3256	4485	1846	1162	408	9082	3049	6771	14547	8947	10226	1968	2118	6957	4817	5984	676	3262	4930	424	652	1392	2406	212	74	4547	5167	3095	1843	1318	6172	8262	3396	188	363	1949	1146	2913	1153	583	1688	3017	4312	856	2035	675	2565	1863	1516	5603	7086	1112	417	1356	289	1641	528	3859	1744	62	27	520	337	3389	1986	1777	2166	3755	2137
Staphylococcus epidermidis	1142.5	12	12	1098.5	793	76	38.5	888	2400	2238	10598	5571	506	480	8032	2783	297	1299	1186	1935	346	264	2634	3588	111	174	4896	5191	1358	2372	2226	521	995	179	341	86	286	991	1880	1546	2180	1582	3986	2967	5316	441	1280	953	10085	2940	678	599	100	48	3800	2171	427	396	299	711	359	99	279	223	1433	667	1679	876	2958	4246	605	666	980	1166	1486	2547	1571	845	2176	1993	95	798	485	596	24936	10945	455	252	59	18	344	179	183	108	1590	763	52	49
Corynebacterium accolens	1369	224	287.5	500	725.5	74	107	527	1575	1811	14	32	526	173	455	109	494	2669	2128	2104	24	131	7098	5507	27	54	3474	4768	2977	5280	399	306	1118	229	423	107	1062	2799	5181	6698	141	392	3023	2482	248	69	2683	1810	174	325	2399	1337	42	11	2161	702	72	79	2620	1228	134	40	550	521	2410	2169	4815	2818	162	640	1975	868	534	985	3679	4012	182	22906	6154	5296	1176	4034	6470	1062	784	876	2036	2969	555	410	27499	30521	154	679	1051	1826	331	1340
Brachybacterium paraconglomeratum	290.5	32	25.5	35.5	61	12	25	281	1713	3230	91	243	2099	191	1255	929	540	13656	748	442	12	7	4079	887	2	1	27766	63063	9907	21564	1587	1323	22123	6937	347	358	14472	72308	61450	105466	5486	16209	77248	95302	9753	1900	17329	27534	1182	2569	12598	25894	444	240	1799	796	16	21	827	2331	89	37	5383	5941	5453	6028	19478	12625	392	1607	7519	7919	2820	8278	1137	227	25	4910	2582	1563	249	2235	9192	768	71	44	163	95	30	7	154	90	15	32	122	87	16	13
Streptococcus mitis	759.5	58	45	89.5	127.5	21	37	108	1409	2119	226	355	1488	145	897	354	3094	3844	1251	534	17	18	1446	623	7	10	3631	4259	2469	3887	3518	1548	2113	385	12	45	608	1849	7050	7638	56	77	1390	570	153	28	4052	2846	2852	1013	5075	1906	133	35	13283	10897	511	662	1290	2390	696	279	743	606	5405	3073	5467	3205	969	3828	1321	1016	1792	2746	2685	2139	76	1629	804	348	149	459	571	386	40	45	103	52	19	22	476	405	5	17	96	64	10	27
Kocuria palustris	410	13.5	16	66.5	90.5	19.5	53.5	174	742	1248	110	249	2500	629	1388	1003	7	1207	212	780	2	9	2871	1046	6	4	5623	2912	1641	2197	151	59	2123	607	4	15	9660	41940	32652	49370	6012	11693	27978	25249	5613	1062	27380	75674	2773	7433	17957	43549	809	475	800	688	20	11	385	606	58	32	522	271	1066	541	1859	829	75	224	2042	591	383	827	1821	3801	101	12346	13647	11850	1766	2550	7948	919	72	57	280	103	42	14	372	312	3	14	139	181	11	30
Escherichia coli	2101.5	153	41	36.5	15	62	31	601	23865	8938	46	49	6157	3699	13627	214	564	3027	2311	1096	9	11	18365	1335	12	9	9770	10763	1573	735	244	21	76055	553	655	12	1945	712	9562	1979	45	8	49080	967	402	35	8922	318	72	27	3335	386	707	99	2771	568	19	8	2594	979	7005	31	862	67	2321	232	1381	123	18	49	3140	633	659	102	7815	667	494	73472	6936	432	12585	17571	28494	3352	197	27	1566	136	76	7	433	77	14	5	311	214	59	13
Staphylococcus hominis	444	23	50	79	79.5	22.5	19	104	444	234	67	86	197	34	2959	1327	88	4738	773	1528	7407	6078	3871	8678	35	58	12179	27916	1703	4253	360	96	3908	1147	37	46	200	1017	1904	1459	20	25	6775	5710	257	31	993	787	220	114	664	525	36	8	8698	5253	438	464	3150	10711	405	132	443	600	2379	1229	2128	912	274	584	3523	5384	880	1084	7073	16610	27	1709	6653	7224	589	2533	913	1567	277	156	294	232	48	18	323	173	2	2	317	258	20	28
