"Group.1"	"1-AC-PMA"	"1-Abd-PMA"	"1-Abd"	"1-FH-PMA"	"1-FH"	"1-UB-PMA"	"1-UB"	"1-AC"	"2-AC-PMA"	"2-AC"	"2-FH-PMA"	"2-FH"	"2-PC-PMA"	"2-PC"	"2-UB-PMA"	"2-UB"	"3-AC-PMA"	"3-AC"	"3-Abd-PMA"	"3-Abd"	"3-FH-PMA"	"3-FH"	"3-PC-PMA"	"3-PC"	"3-UB-PMA"	"3-UB"	"4-AC-PMA"	"4-AC"	"4-FA-PMA"	"4-FA"	"4-FH-PMA"	"4-FH"	"4-PC-PMA"	"4-PC"	"4-UB-PMA"	"4-UB"	"5-AC-PMA"	"5-AC"	"5-FA-PMA"	"5-FA"	"5-FH-PMA"	"5-FH"	"5-PC-PMA"	"5-PC"	"5-UB-PMA"	"5-UB"	"6-AC-PMA"	"6-AC"	"6-FH-PMA"	"6-FH"	"6-PC-PMA"	"6-PC"	"6-UB-PMA"	"6-UB"	"7-FA-PMA"	"7-FA"	"7-FH-PMA"	"7-FH"	"7-PC-PMA"	"7-PC"	"7-UB-PMA"	"7-UB"	"8-AC-PMA"	"8-AC"	"8-Abd-PMA"	"8-Abd"	"8-FA-PMA"	"8-FA"	"8-FH-PMA"	"8-FH"	"8-PC-PMA"	"8-PC"	"8-UB-PMA"	"8-UB"	"9-AC-PMA"	"9-AC"	"9-FH-PMA"	"9-FH"	"9-PC-PMA"	"9-PC"	"10-Abd-PMA"	"10-Abd"	"10-FA-PMA"	"10-FA"	"10-FH-PMA"	"10-FH"	"10-UB-PMA"	"10-UB"	"11-AC-PMA"	"11-AC"	"11-FA-PMA"	"11-FA"	"11-FH-PMA"	"11-FH"	"11-PC-PMA"	"11-PC"	"11-UB-PMA"	"11-UB"
"Cutibacterium acnes"	0.944146484520662	0.970650726882237	0.96470628164004	0.961553342281586	0.962630267840709	0.598931692107314	0.709317006227296	0.930103378235952	0.815384184482024	0.557837480543295	0.975648535657745	0.973213620652103	0.266464249043339	0.156758455118925	0.937325988240876	0.952105935088151	0.270936836004917	0.807459676824602	0.910880231943491	0.898430861367087	0.967850579943449	0.962989711661404	0.701300852363396	0.686630196693919	0.96876167718333	0.968661593210461	0.807165129286935	0.837163440460648	0.875772446630248	0.880731692205036	0.970175340665352	0.971466001411278	0.535589037348042	0.591588367143412	0.835700571547825	0.907222220849901	0.95148060703464	0.928850079767099	0.879879119554998	0.824389227664365	0.96796696781531	0.947393532573456	0.839287003213874	0.754120497758631	0.976419658003096	0.982134898719149	0.625548355925384	0.511955131394936	0.886333847536855	0.889611641736369	0.378896597728392	0.228347017372431	0.865145378500572	0.891368819905736	0.930163577018565	0.949747620250585	0.981082061639607	0.98145175961523	0.790820446032054	0.883444253592571	0.918637343490267	0.962435099438695	0.842632552347768	0.848885903291889	0.88512299359054	0.908876211263159	0.889229879011724	0.896217549347935	0.971214731542114	0.977883423889057	0.416220913973271	0.34304700161321	0.93004232445193	0.946658536569755	0.667775546792739	0.447178458044725	0.852681602306766	0.570772933445988	0.239791299554478	0.140136016031093	0.813659568437155	0.690349575870247	0.70025519192357	0.627433695360328	0.885134146436991	0.949038532065235	0.711409140421787	0.899650245655981	0.96901955839507	0.931320490590413	0.874380359165321	0.876634965933118	0.894038909507677	0.925159973257732	0.581731218588623	0.500838061366204	0.88195106558033	0.921322405000652
"Cutibacterium granulosum"	0.0336666761149184	0.0172619819563592	0.0228356051826914	0.0207017955066141	0.0193271464073575	0.390821556295304	0.282102797463629	0.0474044492106721	0.00971159849443029	0.0132312320966377	0.0070344408653068	0.00958038057978725	0.00773483735450962	0.00284880142671731	0.025118249352419	0.0209521380223959	0.0110289579160277	0.0307210532507077	0.00181746632949617	0.00470280619129885	0.000735982277702385	0.00128537787735919	0.00787390807936115	0.00571220902014818	0.00146406882437534	0.00170547611853572	0.0854406424579861	0.0416364649361629	0.0266354164584098	0.0260504948211528	0.0129388379739865	0.00966059295405368	0.016185050336653	0.0197353673609268	0.149679024881741	0.0803881460002531	0.010517129022529	0.0106618629194169	0.00532976678421496	0.00841971780751843	0.00402487278386419	0.0042716441213457	0.00374199319812502	0.00522671902841713	0.00510651971673712	0.0029064984456207	0.0031590925683937	0.00251093927151263	0.00894803859250881	0.00672020679257591	0.00297174391373414	0.00153331475819666	0.0485144640221288	0.028282023833673	0.00606375502623104	0.00604899222692045	0.00116591296482498	0.00128713400459387	0.0048954610862209	0.00615554138785516	0.0669057639132507	0.0254920714697476	0.0141117751186677	0.0118623202033849	0.0121967387987349	0.0117006492625992	0.0137338430282685	0.0124802994531637	0.00834793569238829	0.00422098662599215	0.00792989357299019	0.00630341709938217	0.0104061781827376	0.0101338221949472	0.00400365356338637	0.00318605453236608	0.135112015245509	0.0320110023595179	0.00254754448142615	0.00235663384321549	0.00755757174255415	0.0148611225838039	0.0150457428278856	0.0204527920903749	0.0872948347379125	0.0273533758132839	0.272411798651025	0.0834660683984782	0.00408229347223644	0.00646287402504117	0.00718627165523523	0.00779928467527366	0.0907448654717123	0.0622597721156046	0.00927711643051706	0.00777306109904609	0.113800954272602	0.0723442129262603
"Cutibacterium avidum"	0.000704126713326028	0.000506927230845761	0.000462938614551562	0.000521142304185328	0.000442444871780196	0.00173142513384696	0.00127094542404725	0.000677696538556703	0.000609407075239407	0.000661655437006927	0.000517624362045715	0.000477744243214931	0.000535550316504276	0.00112390133673353	0.000336652376036382	0.000256985626821287	0.00189574233476009	0.000730366233224771	0.000558825399694658	0.000738175654874003	0.00058075745031669	0.000632360939817209	0.00159963227890454	0.0025579517892729	0.00059062763909862	0.000586785113856341	0.00107311733340154	0.000908923460174818	0.000958615635967024	0.000826642587656116	0.000508799122155175	0.000461098159212621	0.00121340512076275	0.00193543977032059	0.00093853295199903	0.000635937947724978	0.00101791041449691	0.00110314797834447	0.00105866622182215	0.00126686242568394	0.000559933145037099	0.00057652616144795	0.00115946594385229	0.00135856914285533	0.000562714109430895	0.000332859255090677	0.00051198777781022	0.000502266732161697	0.000175923957195084	0.000137595503103381	0.000602225914828751	0.000702227502398465	0.000258889055754001	0.000178498876531945	0.00101881201967909	0.000912784136548626	0.000567502061929383	0.000488280813865878	0.00213843361150338	0.00226860165631558	0.000760923781274492	0.000635509239390481	0.000396861669816164	0.000741721572390638	0.000929202005786853	0.000638347604716227	0.000759190956961875	0.000508330823715363	0.00014872130536673	0.000130846822163468	0.00225711410727191	0.00313814319387292	0.000553069214951599	0.000490929846416297	0.000482370311372111	0.000940828520810484	0.00072750092929387	0.00220640564813046	0.00264879806539996	0.0023522407045856	0.00291728994173257	0.00036456639347437	0.00200728798469019	0.00120869168799972	0.000446919933835303	0.000153266354824543	0.000970507092371559	0.00034899420966152	0.000193147523385486	0.000418836617483334	0.00058812824338702	0.000397692821529441	0.000942719121322532	0.000587037344973204	0.0102198208638206	0.0115886119644623	0.00105163325220924	0.000671349618214377
"Propionibacterium namnetense"	0.00483599035250618	0.00304484569567494	0.00279056123630238	0.00501637304598694	0.00611517166065214	0.00317611627354565	0.00303174919795794	0.00430765706856447	0.00521963408574808	0.00986236003914379	0.00457943675101311	0.00637313670930283	0.00435407247727841	0.00267519569157656	0.0088445937165452	0.00859788550903176	0.000215912183394221	0.00970666209044165	0.00764340808931406	0.00924285378616055	0.00569087805465574	0.00694419517898386	0.0111764887577833	0.0100020320445548	0.00713012690163989	0.00653130596601826	0.00628542058720715	0.00833633959585282	0.0152261193679214	0.0145877099002885	0.00388952829511501	0.00431468957049402	0.00988555623805766	0.0101164366883702	0.00366648182984029	0.0034719159732128	0.00756490142599224	0.0066263354950033	0.00465529338111751	0.00424856237735726	0.0035406341147506	0.00356701078146806	0.00893490917446339	0.00716428004023457	0.00456534907374226	0.00340252235796171	0.0243723632949334	0.0228454230908119	0.00923136533255326	0.00843303111273957	0.0184207064589107	0.0141605781603316	0.0170698941709346	0.0171044790819044	0.00707087410727461	0.00596719763339543	0.00424535198528361	0.0041378641155004	0.00777510383421294	0.00436090876880794	0.00601195157585445	0.00574215362458083	0.0111558579856612	0.00947321125312905	0.0100870488302205	0.00878190854327436	0.0114022984120211	0.0109489648329086	0.00675912322236816	0.00852465664747233	0.00590056326967058	0.00456761770536047	0.00976003714398633	0.00928985879263083	0.00315346126626918	0.00352077071227143	0.00299385797897124	0.00914048977605169	0.00261133272084801	0.00215552144303737	0.0156473841869465	0.0122815054265972	0.00854449863155915	0.0165039919680617	0.00874941392833031	0.00927810645248151	0.0083831603546226	0.00983910063440942	0.00140189686439146	0.00216031156936206	0.00269175103182089	0.00170843980358844	0.00225234371107543	0.00197435616258691	0.00280323438730483	0.00172371466422427	0.00152574550383037	0.0017966953781226
"Propionibacterium humerusii"	0.0104611644246777	0.007736766139132	0.00719116807127801	0.00798046741272309	0.00605500987837511	0.00401739717623256	0.0030898296801544	0.0100192270885187	0.00357580820502558	0.00346584714081512	0.00570246768532288	0.00535877407124067	0.00207248319530653	0.000619109744480279	0.00225836736315986	0.00178321243559622	0.0204059761828811	0.00542816878311696	0.0198862748038774	0.0183757959583862	0.0211255638842391	0.0207049787494747	0.0092707344936981	0.010676992401288	0.0208630635406835	0.0200483364435412	0.00536561228160666	0.00465069026956535	0.00341347181574873	0.00311785926159135	0.00493255192977141	0.00455495026245087	0.00215191065955871	0.00255353652259637	0.00928115759388198	0.00710962688936045	0.00864862904067124	0.00796424406115862	0.00866899194950065	0.00753345217397434	0.0105436449027107	0.0103483229869316	0.00560445560672838	0.00492775270827586	0.0069899433374068	0.00513135709684181	0.00162160714911957	0.000695281533968505	0.00203090686043582	0.00187287968545371	0.00108943836763637	0.000499155592165723	0.00125238600682583	0.00112424223616709	0.00758778812291244	0.00686546608964702	0.0109639537772351	0.00924041652420696	0.005951166520825	0.00827466556215262	0.00554098408111607	0.00462169761457415	0.00256741116090344	0.00218801271111396	0.0028142945014209	0.00236281269933197	0.00272553105736124	0.00231718888731295	0.00223319712390678	0.00240506623624371	0.00135656089337358	0.000977640040163335	0.00311588061294489	0.00285623754618549	0.00192202265001163	0.00104479730272747	0.00468543058326366	0.0157936426123258	0.000958732308710056	0.000433142377832957	0.0046585042096212	0.00212491076011784	0.00560355717351007	0.00338707221885512	0.00130789018641678	0.000676455200892993	0.000361813944329145	0.000165915003457365	0.00427787162833282	0.00936610858460465	0.00630496978831275	0.00463534778690942	0.0109319780712489	0.00783473987543338	0.00331736643490131	0.00264302397146677	0.000751896227956941	0.00100225083824005
"Corynebacterium aurimucosum"	0.00144097844773478	0.000148779195922914	0.000596602072398204	0.00114119677192107	0.00202467024322799	5.7876424174605e-05	0.000107422085169498	0.00423443735276544	0.00871268798110943	0.0084617730476607	0.000317173922735688	0.000609414721492415	0.0112812676189222	0.0116548269307641	0.000786872226745796	0.000670544193844055	0.00829585803192865	0.00683151118746581	0.00852274078148805	0.00814999208912116	0.000194207463175931	0.00156844110634426	0.039971935868147	0.0464394202701636	0.000105135168376294	0.000220314587575403	0.00530221235679208	0.00632021862599812	0.00925482254985977	0.00871314591486196	0.000520341525908858	0.000731113642816622	0.0206827885675295	0.0203271572301007	2.89561949783401e-05	0.000146616004731786	0.0013128909560351	0.00269903803656806	0.00569268885129707	0.00775354594248173	0.00789842700612327	0.0232529358812771	0.00646775810084375	0.00968404251528029	0.000331156992676119	0.000476408128984107	0.00798647150065132	0.00566404940188047	0.00359071093242648	0.00330691665419092	0.0301614738825784	0.03633696725459	0.00142951455455238	0.00107860098629937	0.00800429494127864	0.00756225241996361	0.000345148021179273	0.000970507111467708	0.0125631885963733	0.01625559695229	0.000268495701935741	0.000264919396730376	0.00811406138039047	0.00823703167312779	0.00680886649688227	0.0070034592177288	0.00851312687437487	0.00866640078824199	0.000336972141814609	0.000454308276088549	0.0194546075289914	0.0213707659522155	0.00260839165653802	0.00238639192872793	0.0381188080996329	0.067925668936713	0.000547859293920056	0.0219990937352612	0.0826739571867283	0.0751572804148267	0.00945388729184023	0.0253719594168713	0.010784420367628	0.0172396120917254	0.00412963941435313	0.00486716346517932	0.000431161539864672	0.000488626481654772	0.000647841292010297	0.00193857414794187	0.00351366566881564	0.00390348774733597	6.21924688524465e-05	0.000268675295263975	0.0697154648192303	0.0652315092233795	4.07410487852886e-05	0.000133114547875942
"Corynebacterium accolens"	0.000212694312789065	3.06061865368307e-05	8.69814154712894e-05	0.000119610909509252	0.000196985985741934	1.61235671878639e-05	2.06300098951714e-05	0.000151341427855645	0.00106743277877489	0.00208387888073552	5.60539656067631e-06	1.06993841205069e-05	0.000680608125138834	0.000433400826446154	0.000102895303317303	3.0180654731286e-05	0.00265938852354506	0.00235488861193385	0.00038470129722979	0.000386508318121858	8.65083358471724e-06	6.74491258272838e-05	0.00267772314165341	0.00163869498452568	9.18786836415584e-06	2.04373869596704e-05	0.00106771867283229	0.00138596711538376	0.00134026108268409	0.00138942688895227	4.69164560081064e-05	7.92230421793992e-05	0.00121006833374488	0.00112596107571039	4.53081982679244e-05	2.31318033435311e-05	0.000165481579625121	0.000220004533522397	0.000635423991964591	0.000860076749265951	4.15813506343979e-05	0.000110598064759665	0.000522206818218241	0.000725563244619026	2.41722066192617e-05	3.52153029486673e-05	0.000436480359880454	0.000191132467343936	7.48301772992327e-05	7.10899817780865e-05	0.00107576856558903	0.000404465996032372	5.31612908850164e-05	2.75020362130265e-05	0.000501871194839109	0.000128539063523666	1.36838304381284e-05	2.16940088504381e-05	0.00440605638076794	0.000467841874881035	1.27917264137933e-05	7.75858595398462e-06	0.00120340661031174	0.00110341886743843	0.00119092315477481	0.00125227746271343	0.00130069427997799	0.00128773507034798	4.28339421329801e-05	5.14208330685806e-05	0.00153148836628532	0.000654759979992245	0.000357614710198719	0.000246297299569801	0.00272505318229989	0.00152529001210794	7.36648794787556e-05	0.0345544363205187	0.00301546378549781	0.00182220396194971	0.00319779431638004	0.00365548383716615	0.00992710632095491	0.00460373807238036	0.000221312326979595	0.000263563586915725	0.000530725684391242	0.000615815102573989	0.00179208594843921	0.00659224186993626	0.0322369533177091	0.0373323223444134	4.44017272966944e-05	0.000208029371735854	0.00626508501775679	0.01012609830301	9.60839302842744e-05	0.000436332356560889
"Corynebacterium amycolatum"	6.00232295289684e-05	1.5233428080506e-05	5.23558778597287e-05	1.60025238378446e-05	2.40856078460671e-05	4.85842890169857e-06	7.19639497752949e-06	0.000103568754951913	0.000764806483400072	0.00306667227238336	6.98697864405051e-06	1.10211349925204e-05	0.00484088502062955	0.00806586801661731	6.99380375337506e-05	6.44246405991198e-05	1.04381477680046e-05	0.000244639416662948	0.000192088420288506	0.000141407425516896	1.39780088437216e-06	7.48746650267285e-06	0.000868989876134625	0.000836314962944431	2.63924429152516e-06	2.56843306238215e-06	0.000383183320153844	0.000356488733087311	0.000759012202719193	0.000740606324263224	7.75175109876873e-06	7.02791861984618e-06	0.00198950497355674	0.0023452632668695	2.07684949034496e-06	9.85058845987881e-06	4.7434397960067e-05	7.20110500775551e-05	0.000175261330187605	0.000261675690938362	1.71541551323697e-06	1.91468839245756e-06	0.000702378841755449	0.000929861638302333	8.59893394929934e-06	8.90622057666547e-06	0.000425209075719132	0.000302313778893415	3.46054277633303e-05	3.81712296634646e-05	0.00196197079821701	0.00182862928261429	4.54032096836564e-05	4.36298051272591e-05	0.000273334715257201	0.000241066239404138	4.05355875260885e-06	7.98679578577294e-06	0.00121952009350897	0.00205950140869418	1.07354673835137e-05	8.08592379003782e-06	0.00309912092855744	0.00351105309069766	0.00360840778940805	0.00427242924019245	0.00362218913803241	0.00374308292361949	2.74280803119396e-05	3.40391867090308e-05	0.0765512734529021	0.0842607085644156	0.000666780921757178	0.000740339729811379	0.00176939380241818	0.00143966797733791	6.27838120125164e-06	0.00172427672199876	0.00327068842137826	0.00193437523102732	0.00155009792283123	0.000838100215846859	0.000581612529302572	0.000281578503395922	1.01258122285074e-05	1.0792489403919e-05	1.66791867494661e-05	2.21193024389649e-05	0.000294260730483244	0.000592340567185243	0.00125471406513992	0.00115026150587473	2.23618502599997e-06	8.3167092363741e-06	0.0117547610440758	0.0259081794173317	1.12569661634578e-05	4.98779174247086e-05
"Corynebacterium afermentans"	0.000140767001192601	7.52435048078783e-06	2.35766355200042e-05	2.15005138950152e-05	2.1299862966764e-05	7.35774474844083e-06	1.02168679238838e-05	5.72902061572103e-05	0.000297169594960099	0.00180057385327092	7.07227554321525e-06	1.11170798221881e-05	0.00121134575224678	0.000356612156461845	3.57157428564674e-05	3.19342765789523e-05	0.00813860140639248	0.00128162482650126	0.0048058409419411	0.00472831199213913	1.61044951882398e-05	6.580245330264e-05	0.0200586869013374	0.0322094026463267	5.23292680447717e-05	9.43788745755448e-05	0.00147696670572363	0.00137151362263693	0.00115308000301103	0.00128344365280389	0.000102138746820957	0.000159520582469822	0.0150989476660758	0.0117553741958788	2.50409549860851e-05	4.22294580079866e-05	0.000111551729376857	0.000214056143690048	0.000617285528098435	0.000875107970825911	2.45132791397996e-06	8.50141864443919e-06	0.00118677716153519	0.00223068429546379	1.49885036119089e-05	2.12116412798882e-05	0.000531614267818577	0.000327844897604603	4.06631354130318e-05	4.36373345410289e-05	0.000844264911088624	0.00103225192505436	6.31276190493518e-05	4.41624369382474e-05	0.000786177349815363	0.000713255951728293	7.70143650336805e-06	2.59648643793315e-05	0.00340384406235863	0.00659726678206196	2.39041525089578e-05	1.87429297563417e-05	0.0010184967833369	0.00095504614610328	0.000608438926561894	0.000368933483808248	0.000548167302283541	0.000569294072953063	1.70332164424097e-05	1.00177992602485e-05	0.00191920030409293	0.00186853224639363	0.00028181304044863	0.0002715011382304	0.0073868262640054	0.0154888897640789	1.387825870825e-05	0.00249063678541553	0.0122308266535874	0.0138800943748939	0.000469011225126505	0.0110358448075763	0.000819433011912521	0.00857600407002517	6.10077237412841e-05	4.90809432011973e-05	6.85243299769746e-05	7.41362347208898e-05	3.01953665076329e-05	0	0.000103535183967598	6.73587566789617e-05	1.19831523312258e-06	0	0.00164754708041621	0.000939206122174643	2.41292985608555e-06	3.3833316055106e-06
"Corynebacterium simulans"	3.08401955597305e-05	3.16223674859562e-06	6.73268756623728e-06	8.62413691100468e-06	8.70082121657105e-06	3.87899516677221e-06	3.86151750188488e-06	2.91414994373736e-05	0.000197876240933848	0.000392294868968697	2.85120290528559e-06	7.44061169838501e-06	0.000579347585306639	0.00101464672873538	1.87209090974315e-05	1.92245681407107e-05	2.87518585095604e-05	0.00055212441431772	0.000963593029426637	0.00106223096293732	6.73791986415391e-06	4.35400041274699e-05	0.00429194692339042	0.00576317558473786	2.48384610091981e-05	3.0994116868616e-05	0.000221053917318933	0.000412702592940676	0.00057787733823305	0.000549527733748494	2.03055082254896e-05	2.30457008303056e-05	0.00436056207180373	0.00634622883530169	3.43240682269818e-06	2.00133082224919e-05	1.08188120148838e-05	1.62321686940294e-05	4.01751647030132e-05	6.4123136376139e-05	1.07627478762081e-05	3.03883179631525e-05	0.000217580846201703	0.00029508448962053	3.29691723233416e-06	3.634395248213e-06	0.000118166405151933	8.97674924314139e-05	2.71797655054291e-05	1.75237634558108e-05	0.000277417106295903	0.000574382626009759	4.05609911928702e-05	4.45104506086515e-06	0.000180679452736718	0.000144734083714323	1.86092000077583e-06	8.0665251546289e-06	0.00112421280248982	0.00145111837654743	4.50360263284775e-06	2.76250070827601e-06	0.000409005199318924	0.000518436066795155	0.00034705917549554	0.000218418677681081	0.000453743764569452	0.000443375675879494	6.11936291052538e-06	6.22211763878258e-06	0.00103675554223166	0.000974964603644727	0.000144857245355465	0.000151353393691061	0.0108249344896963	0.0198257832602398	2.37789602592225e-05	0.000652605390229004	0.0287292533686297	0.0258666001386077	0.00153701023927243	0.0126389235102316	0.000419292021916431	0.00346515174164997	0.000172877236259617	0.000234341490069745	8.56206516950297e-05	0.00010413076832104	1.14970302397573e-05	2.86245786797248e-05	0.000115829691317701	0.000113234669891465	5.13297289405333e-07	2.18174857532214e-06	0.000557151600827739	0.000631845892334227	1.03357640829324e-06	4.05789203370074e-06
