#OTU ID	1-FH-PMA	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd-PMA	2-FH-PMA	2-UB-PMA	2-AC-PMA	2-PC-PMA	2-Abd-PMA	3-FH-PMA	3-UB-PMA	3-AC-PMA	3-PC-PMA	3-Abd-PMA	4-FH-PMA	4-UB-PMA	4-AC-PMA	4-PC-PMA	4-FA-PMA	5-FH-PMA	5-UB-PMA	5-AC-PMA	5-PC-PMA	5-FA-PMA	6-FH-PMA	6-UB-PMA	6-AC-PMA	6-PC-PMA	7-FH-PMA	7-UB-PMA	7-PC-PMA	7-FA-PMA	8-FH-PMA	8-UB-PMA	8-AC-PMA	8-PC-PMA	8-FA-PMA	8-Abd-PMA	9-FH-PMA	9-AC-PMA	9-PC-PMA	10-FH-PMA	10-UB-PMA	10-FA-PMA	10-Abd-PMA	11-FH-PMA	11-UB-PMA	11-AC-PMA	11-PC-PMA	11-FA-PMA	12-FH-PMA	12-UB-PMA	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd-PMA
SMGC_103	136	121	2338	13961	968	18	294	607	3755	552	19	21	496	1876	551	608	112	1984	2057	4629	160	582	860	17957	6941	2623	174	6028	2704	74	600	1547	1965	342	3106	3754	103519	19099	17236	92	3079	3271	114	84	282	88	804	92	90	10728	2245	1542	111	457	48091	5415	253
SMGC_121	581	102	2918	3147	108	64	1581	1014	478	1064	12	10	1593	2438	1090	3052	34	4171	3240	3119	142	772	760	3258	5216	1495	122	3647	4319	1264	1226	1821	7890	4048	5804	1112	2820	16802	25197	130	1949	3160	2304	550	2258	678	12	52	36	184	398	1035	138	384	3298	3635	34
SMGC_122	228	111	3179	14167	396	110	840	2281	2273	1950	102	113	1828	47873	14605	656	30	4793	4754	3813	707	275	822	14585	4030	833	183	8204	11702	123	291	3307	4533	143	762	749	5810	4993	2589	184	25856	83532	1377	545	2546	754	15	18	36	2248	626	779	119	4972	33994	6702	164
SMGC_123	18	30	144	2398	109	4	96	228	5516	1500	21	12	4	626	272	100	14	320	1759	1494	10	94	337	5957	1710	12	2	152	2	19	44	488	650	280	1496	969	53767	8517	7794	6	212	450	16	36	1110	4	2	32	16	9470	366	130	16	10	6169	568	34
SMGC_134	76	30	698	1012	14	28	580	1494	484	114	32	114	34	51174	17577	515	10	2137	1801	2640	2	28	148	1561	428	424	142	4992	3335	198	682	1526	3945	515	2310	1498	4128	9873	5257	156	1729	905	492	1015	2754	1196	8	10	28	224	260	90	10	2	888	1789	8
SMGC_143	141824	2108764	688169	79605	447970	42050	272274	37130	14528	49110	5668	10531	5334	54991	25720	254974	2678519	571058	39878	158103	28285	133216	157719	64403	118698	42356	97309	55291	17734	15005	1384216	8008	73583	68073	43030	16728	26976	136366	67805	626714	14276	13826	616477	2405253	27981	7705	584953	806087	3099	4302	17279	204238	4106526	232125	109769	93503	81346
SMGC_147	130	36	1126	1098	86	202	1240	1429	2051	1887	2	0	1757	1400	802	5678	2	4507	2332	3103	54	242	851	1559	9754	2396	112	3499	4847	494	603	1465	12812	898	1643	630	1436	5222	4799	34	2770	976	62	158	302	534	20	12	32	164	439	58	12	267	1110	897	18
SMGC_159	150	119	1986	12758	392	86	4899	13837	5960	9028	53	250	2643	48899	17000	884	270	21749	15351	8100	206	2413	6451	46334	23204	29863	10393	409263	245978	30	495	2137	3771	321	2455	6648	7432	17427	5522	771	63706	250955	1493	2345	24044	7325	244	273	864	2999	9294	212	236	502	16977	2738	108
SMGC_163	98	38	1073	1219	144	330	1070	1468	1438	2702	35	12	3441	2493	1258	3430	130	3499	2388	2478	62	236	618	1567	6521	1761	108	3273	3798	379	594	1504	10424	744	1233	451	1998	4460	4076	50	2212	776	328	202	200	730	29	26	22	266	446	56	33	211	1056	1083	8
SMGC_170	9035	7513	18820	19190	20727	5389	11000	6825	2370	6381	5190	6952	1879	71774	63855	17775	16594	39967	6319	9444	6739	23588	15879	55765	30781	7611	2616	32850	19502	10898	24520	1704	11988	7865	7633	2397	4975	14958	8145	4548	6697	16890	8753	8869	4273	3225	5546	6336	923	1516	5510	7825	4141	7263	12092	10084	7389
SMGC_182	144	118	6150	5501	132	14	556	1392	374	1361	8	9	110	5588	1925	158	8	1056	2119	1689	222	4138	17266	30205	232276	158	73	5237	2592	18	121	580	993	11	201	262	1848	1093	206	24	2174	4742	136	366	484	238	10	16	36	252	535	168	44	632	4409	5968	84
SMGC_184	6354	8195	8548	8558	16251	4367	36060	14397	3252	9662	423	692	750	12590	6420	45953	8958	38473	8847	20602	2214	31680	18988	29899	91869	14359	4278	37219	16735	2753	36458	5150	18986	15097	6340	3380	6525	23912	11312	5166	11537	12483	15348	17017	7502	4267	9061	10112	1460	948	5070	6815	5561	1300	9134	7637	4465
SMGC_19	67	70	680	787	192	28	233	881	1355	2284	100	46	3	12498	4493	4269	721	14397	8137	16079	29	231	698	2169	2857	93	34	1412	580	87	177	873	1407	178	1634	1064	1480	8609	2386	28	3319	1399	103	267	739	311	38	59	41	148	401	194	217	48	2024	775	13
SMGC_20	16297	558	6104	5792	94	4734	31889	8566	1126	5334	3458	181	296	55908	11654	11249	281	12975	250924	9838	1868	7529	1307	18653	17234	60755	892	27501	10869	12194	6975	2131	21359	68527	28627	2072	3500	15997	11411	7298	11367	14542	22081	1907	4911	1574	244	1486	992	5943	3673	23109	1339	1030	13231	3328	134
SMGC_200	102	46	1259	1529	130	295	1458	1427	1584	4731	14	14	3089	1324	1087	4867	0	3348	2255	2781	58	250	768	1910	9042	3175	135	4099	5695	445	682	1874	13308	987	2094	699	1420	5712	5615	88	2373	1108	54	81	627	126	8	8	18	192	550	39	12	134	826	986	11
SMGC_203	181	308	335	3898	623	148	196	148	2858	346	4	2	0	568	152	893	372	764	1239	979	40	699	88	908	496	6	24	134	0	76	881	112	470	353	744	528	23905	4305	3622	254	190	272	150	220	769	0	218	439	18	3763	227	379	224	168	15211	1232	330
SMGC_204	56	20	561	12985	102	24	288	182	19597	2301	16	24	598	1821	442	80	76	460	1530	1560	0	92	178	5528	1004	84	4	324	384	32	80	436	871	246	1899	928	46463	5817	7484	6	870	864	20	74	72	0	24	40	56	19477	514	420	40	32	15147	624	48
SMGC_209	29	52	1056	2425	99	46	2437	13323	51749	37077	8	14	2526	8730	6797	583	472	18182	10145	9097	13	226	618	5976	2755	119	46	2359	2435	129	291	6410	2202	194	2687	1737	5576	7844	3592	51	2374	8131	328	558	1032	1038	16	48	93	564	4186	50	18	185	3328	997	14
SMGC_212	130	90	3038	3083	408	20	542	2133	849	3392	34	30	666	9059	1058	241	717	1722	1217	1546	181	278	984	3064	6227	250	72	4170	3147	108	158	1894	2726	104	393	351	2581	2508	1338	161	3257	7203	540	1734	8671	1574	214	600	993	1790	49917	794	123	287	4196	2988	27
SMGC_213	34313	18650	39659	17509	40617	17728	33572	12381	2254	7638	7345	12716	662	18732	25565	52356	29082	16811	5846	16406	16635	82894	30675	25971	65192	25875	8415	36508	11826	37288	87845	8715	49138	30778	16787	3796	6104	31111	21035	15557	9881	11230	34835	41107	11899	3790	16946	18416	2473	1489	21277	26703	12391	12513	26561	23095	13993
SMGC_218	10320	13289	32457	41197	5619	2126	27258	81222	24111	22122	980	366	4852	119671	19283	90461	17788	217663	90318	369286	19994	99466	53541	226264	557017	523173	32596	923598	408529	12433	123917	40029	239023	31870	262763	46970	78216	278044	152441	16537	407743	295321	11115	8875	81870	29578	120032	5951	5312	11740	144091	17199	10671	2930	51940	21625	576
