#OTU ID	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	2-FA	3-FH	3-UB	3-AC	3-PC	3-FA	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	4-Abd	5-FH	5-UB	5-AC	5-PC	5-FA	5-Abd	6-FH	6-UB	6-AC	6-PC	6-FA	6-Abd	7-FH	7-UB	7-AC	7-PC	7-FA	7-Abd	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-UB	9-AC	9-PC	9-FA	9-Abd	10-FH	10-UB	10-AC	10-PC	10-FA	10-Abd	11-FH	11-UB	11-AC	11-PC	11-FA	11-Abd	12-FH	12-UB	12-AC	12-Abd
SMGC_103	275	180	567	42	162	646	1877	539	49	22	2003	556	1199	506	259	101	3158	614	6266	19452	251	91	2289	11862	8160	60526	3227	42	4322	2344	5490	1764	81	189	949	3551	1855	2752	1444	6048	3558	94746	8896	10823	2012	150	1925	2272	3961	3031	107	106	116	1365	88	182	1649	310	57	21289	2095	371	1841	114	691	514
SMGC_121	733	64	48	113	518	1052	172	852	32	26	2393	1559	414	306	1087	58	3720	746	3921	8456	184	108	1678	4587	4735	6317	828	40	1556	1509	3305	1033	1496	370	3216	3080	4672	2939	12106	6427	1046	2180	7921	11647	6758	390	2249	995	1140	758	1683	315	1689	2022	822	1956	26	100	16	120	160	24	750	46	293	102
SMGC_122	264	151	437	119	428	2352	1186	2653	480	116	1690	52326	18934	15169	298	134	4006	1146	5378	32747	1146	57	2764	10722	5085	11104	961	46	5785	11394	3930	4552	154	92	1515	7817	3964	3632	401	1291	608	5453	2014	1583	7900	346	58368	73709	61455	79300	1124	604	4697	18740	2554	10268	28	41	24	2020	459	82	1010	90	6443	351
SMGC_123	26	16	106	10	37	299	3200	204	10	6	406	747	104	136	26	75	1728	468	2359	8502	10	20	936	4702	1895	12090	14	0	21	98	52	46	8	4	146	2716	535	98	744	2732	1324	70589	4821	6313	366	20	139	562	198	216	14	16	0	181	40	0	11	54	8	11347	396	119	146	12	78	87
SMGC_134	68	18	25	14	134	2398	56	4886	44	255	1155	92918	10169	18432	136	26	3158	426	3585	5243	0	10	181	338	278	795	176	32	2876	1563	4348	1217	180	155	1092	2479	2738	1498	1442	3246	1629	4086	4526	2243	2410	6	60	131	8210	224	408	986	1931	832	696	2624	12	36	30	230	168	61	44	10	62	12
SMGC_143	111576	2187054	202980	58770	166376	28085	2485	45184	6765	10000	88837	44307	42742	58787	81232	666647	304423	10657	236074	575896	29289	12533	308906	45504	164243	218509	66222	20528	53155	11968	36180	11745	11348	258675	80044	37599	87765	114483	116616	94948	14127	20462	62290	47353	57486	8474	18741	14564	17467	16797	175793	839217	830155	31849	12466	38824	373850	449973	1076	4013	15133	5559	172887	2739642	277914	65178
SMGC_147	178	46	54	309	476	2421	112	2351	16	10	4517	578	490	514	2244	33	5019	519	4402	10839	88	36	1976	830	9748	2877	878	31	2137	1578	4172	1473	582	212	11095	2203	8692	10744	3084	2184	557	1077	2702	2750	692	4	2190	322	1516	4887	54	54	614	354	444	421	28	22	32	86	396	72	42	8	113	31
SMGC_159	212	294	82	129	2121	15867	1801	16933	213	383	10116	49007	6598	29432	508	163	24911	4841	14275	48970	430	339	21844	39719	32635	78361	63242	3420	638147	376042	223510	769051	36	144	1415	3633	2412	4174	910	5786	5958	5942	8445	3026	23773	2188	188417	354779	121563	104644	1376	2453	25832	166049	6191	21620	506	738	376	4433	7339	3323	283	246	766	157
SMGC_163	169	28	84	346	474	1970	428	2224	44	6	3384	737	456	487	1443	53	3798	448	3297	9048	102	36	1920	992	6753	2654	689	26	1887	1279	2950	1015	474	170	7679	1705	7551	8285	2367	2002	478	2526	2394	2265	469	18	1537	446	1469	2017	202	60	980	877	584	846	16	26	10	272	312	33	74	11	98	45
SMGC_170	7662	8223	6660	5977	7195	3701	605	6235	3630	7325	12152	72861	19122	82565	7032	7596	46425	1465	12688	31930	6410	3997	34760	38571	29429	72784	11146	978	39839	20956	20107	39376	6883	9231	9837	5967	12924	20172	23776	12047	2352	3796	7185	4894	8384	10825	11851	20349	11823	8344	7394	10515	9139	39336	7131	19950	5276	6179	528	1983	4263	2204	6925	3538	5826	4486
SMGC_182	212	343	247	14	164	793	154	521	19	11	124	6604	808	1743	71	30	1415	317	1314	6349	284	857	70227	28211	333253	517480	281	22	4732	3122	2027	1331	20	18	405	1919	732	1687	55	350	135	1788	429	261	358	39	3459	4371	2631	3335	110	546	4334	4483	3282	3861	22	52	10	252	480	90	195	59	1125	253
SMGC_184	8532	13556	4874	4565	30249	17168	899	37890	927	732	19301	7744	8921	6595	29445	7566	30074	2588	28952	66179	3125	4672	59536	24020	145915	143530	28283	1559	44303	16276	43973	24145	3760	16399	16232	7661	21996	26268	46252	15758	2844	4696	11253	9251	7770	13853	13625	14129	11507	9722	14717	23813	6853	16531	3412	7150	10589	11389	237	790	3496	2611	8247	6434	1413	2588
SMGC_19	53	55	71	40	141	908	342	846	929	40	6019	6847	8119	8531	2687	1145	15732	2981	23134	402466	62	18	1805	1878	3942	4134	187	14	1374	773	509	1171	138	60	791	856	1230	3245	650	3629	675	1053	4152	1771	1624	18	536	1072	497	394	57	158	383	1041	111	714	53	134	18	144	287	97	284	222	102	45
SMGC_20	17381	529	134	3583	11086	4630	705	5439	3362	312	6389	61562	6186	21238	2563	250	25084	28636	16903	31277	1524	774	3132	12068	11259	8049	25567	262	18201	7021	23123	4799	9496	1647	5774	7160	11070	5432	93486	31811	2126	4751	7250	6301	2616	238	9875	12355	8686	9594	9572	1541	8895	7956	5077	4940	155	1860	261	2512	1707	411	15286	456	752	222
SMGC_200	197	34	74	417	536	2511	203	2095	26	18	5385	672	688	677	1940	40	4469	458	3907	10980	66	32	2071	723	8874	2595	990	32	2527	1883	4287	1552	541	245	10662	2190	8733	10900	3368	2534	660	1176	3084	3066	702	6	1686	387	1599	3232	41	56	1052	627	378	963	18	25	22	56	395	65	55	0	77	37
