Taxa	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	3-FH	3-UB	3-AC	3-PC	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	5-FH	5-UB	5-AC	5-PC	5-FA	6-FH	6-UB	6-AC	6-PC	7-FH	7-UB	7-PC	7-FA	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-AC	9-PC	10-FH	10-UB	10-FA	10-Abd	11-FH	11-UB	11-PC	11-FA	12-FH	12-UB	12-AC	12-Abd
SMGC_103	9.01720125086975e-05	1.98116810977992e-05	0.000136681122468477	1.31124011405291e-05	0	0.000129864191420822	0.000124857750596517	1.59778331783759e-05	2.41709633088395e-06	0	0	0	4.12500628557764e-06	2.70142714141729e-05	0.000557296134208517	0.000106097697497048	0	5.06479891761418e-05	4.5731909432026e-06	0.000320387883967426	0.000692898086815872	0.000751654040303341	0	0	0	0	1.61413491690364e-05	0	0	0	0.000221408210261433	0	4.24879837955723e-06	0	0	0	0.0010579401194329	0	0	1.01989091120556e-05	1.04344241719521e-05	0	0	0.000476199218855956	0.000124278325147486	0.00542624989765702	0.000154548478913572	0.000235141347800553	1.26326215682985e-05	0.000186476342407274	0.000196566863204475
SMGC_121	0.000154255166461281	0	7.37059385117853e-06	2.83858719707431e-05	0	0.000212546643468381	0	1.1199779520837e-05	1.00109652393265e-05	0	0	0	0	2.41172755528105e-05	0	5.02216889453681e-05	0	2.52520447174427e-05	0	0.000101976552456755	0.00151257968018149	0	0	0	0	0	0.000353438618496356	0	0	0	0	0	0	0	0	0	0.00379039879948856	0	0	0	0	1.2348498569822e-05	7.23827642248789e-06	8.25484543107076e-06	3.11598352316451e-05	0	0	0	0	1.56038116803833e-06	4.64231675900623e-05
SMGC_122	3.54725791622375e-05	8.34621130742864e-06	0.000131731241648833	4.62256634356862e-06	0	0.000353716427244005	8.10300427897659e-05	0.000160427349414398	9.27045038238176e-06	0	0.000169158316238337	0	1.14378150175633e-05	5.13650195531266e-05	0	7.74068092792751e-05	0	0.000192747967148362	7.68461336284657e-06	0.000488079655537468	0.000909207972022368	0.000493351987874914	0	0	0	0	2.94837643775186e-05	0	0	0	0	0	0	0	0	0	0.00332761878713837	0.00763425393111731	0	2.5542575699381e-05	1.78057399151546e-05	0.000704911605099996	0.00345984569965636	5.84654335089811e-06	1.08437621232016e-05	0	0	0.000128070915620159	0	0.00114584788870354	0.000108377415892287
SMGC_123	5.91382194639224e-06	0	3.56630373553525e-05	3.06120667490051e-06	0	7.4049043766082e-05	0.000394916510108082	0	0	0.000196492699915345	3.42897944247835e-05	0	0	3.46321405089029e-05	0.000698983253050395	5.60535419382139e-05	5.44317006966573e-05	9.01970933188181e-08	3.36629724408737e-06	0.000137096711328447	0.000601942407235037	0.000114975893834171	0	0	0	4.82749182377914e-05	0	0	0.000519086542169833	0	0	0	0.000205687683096223	0.0100656024860659	0.000359517196741528	0.000344400122267656	0.000182990826638782	0	3.71347795368863e-05	8.25097500579929e-07	0	0	0	4.58845520606033e-06	1.32618613344457e-05	0.00072211928989037	5.10387772471393e-05	1.38914974477105e-05	0	3.55447925923505e-05	3.37470564085957e-05
SMGC_134	2.44735284712335e-06	0	6.49894832312468e-06	0	0	0.000444744798215558	0	3.60245986964146e-06	5.07796970693267e-05	0.000322017398379209	0.0118805156854361	0	0	6.81306747705797e-06	0.000275952948121891	1.92345213386001e-05	0	0	1.91501550587212e-06	0	0	0	0	0	0	0	1.37542599277598e-05	0	0	0	0	0	6.74427684412565e-05	6.28762004130238e-05	0	0	0.000737702276737345	0	0	8.82309044021331e-06	0	0	0	1.38884002203273e-06	8.68246778081827e-06	0	0	0	5.83991941756e-07	1.92108351938572e-05	2.3075226417881e-06
SMGC_143	0	0	0.0262126471778813	0.0078995658741723	0	0.00149220738239566	0	0.000444682553524655	0.000550426178468098	0.0302487095302539	0	0.0140665092718049	0	0	0	0.00116336140651228	0	0.000684562160549245	0	0	0.00343104071703092	0.0220024807299201	0	0	0	0	0.000448508920405092	0	0.0044943036217873	0.00280438177389986	0	0.00162453283599766	0	0	0	0	0	0	0	0	0	0.0011562322117171	0.00759139137416571	0	0	0	0.000550007141180032	0	0	0.0464636567724972	0.00772601198950084
SMGC_147	4.29211018401574e-05	1.93185973277929e-06	1.49803447442672e-05	6.32723577060388e-05	0	0.000840905706997577	0	8.00280891146179e-06	5.73310997136885e-06	0	0	0	0	1.83977791052193e-05	0.000109603004546037	2.62684086105757e-05	0	2.00459608963634e-05	9.66295245689798e-07	0.000171121006697721	0	0.00013670643110355	0	0	0	0	0.000138144395713772	0	0	0	0.000212014963595706	0	0	0	0.000104890744750911	0	0.000385831607716678	0	0	3.48928935904424e-06	0	0.000193190432560072	0	5.12106906387127e-06	6.6536838720133e-06	0	2.42725073419205e-05	0	0	0	1.16654934334555e-05
SMGC_159	3.8754754182403e-05	6.37934974939137e-05	0	1.85158341296615e-05	0	0.00276164896291477	0	6.62224450324945e-05	7.26853531527488e-05	0	0	0.00461673064422019	5.94008640862229e-05	1.67539937359389e-05	0.000672522085909736	0.000719334083890201	0.000862655061833655	9.48808439413275e-05	0	0.00380368056132975	0.00517781554418067	0.00417246953702519	0.00630852849093657	0	0.0644119836845806	0.0372666198463974	6.37130721294753e-06	0	0	0	0	0.000238907976631565	0	0	1.59932299131009e-05	0	0.00972714204398746	0.0369550673146669	0.0343401930033014	9.25983212445303e-05	1.4024897198629e-05	0	0.00026071398474114	0.000113922498109941	0.000209000010259038	0.000538734134353859	0	3.7422838457622e-05	2.22511991790213e-05	0.000161089720488449	3.87910402075586e-05
SMGC_163	8.8310249795538e-05	0	3.61295057348803e-05	2.08011234246066e-05	0	0.000957800880463926	0	8.01430392806159e-06	0	0	0	0	2.41848458808727e-05	0	4.83188145703347e-05	0	0	3.97828804416816e-05	2.45446737799693e-06	0.000679150497483528	6.67047738855923e-05	0.000382677713944012	0	0	0	0	0.000205504681788767	0	0	0	0.000114457573709029	0	4.98329129922793e-05	0.000623382912677257	0.000234718130863362	0	0.000426822077041945	0	0	0	0	0.00049657782419402	0	0	3.36688089795637e-06	0	0	2.22261738678519e-05	0	0	3.89673939734537e-05
SMGC_170	0.000176703051582644	0	0	0.000242351611157651	0	0	0	0	0.000545273252423641	0.00155746469130116	0	0.00487278153709575	0	1.75391533842003e-05	0.00129200383421938	6.53778753291816e-05	0	0	0.000233270339947799	0.00123684256321769	0.00204599855296424	0	0	2.974321621092e-05	0.00036613363548087	0	0	0	2.69301710766343e-05	0	1.48435628576429e-06	0	3.04592374898138e-05	0	0	0	0.00208869825217853	0.000488575957386425	0.000721431529610188	0.00022516323165018	0.000488057387356502	0.00200851329721824	0.00382871165838642	0	0.000247035016399515	0.000141470751948802	0	0	5.66587765944155e-05	0.000120236458699107	4.0474053906426e-05
SMGC_182	4.61363034071881e-05	9.59302580858558e-05	9.63808982246347e-05	1.10001847896083e-07	0	0	0	5.11383035406546e-06	1.64761340382183e-06	0	0.000256022240674147	0	2.68091878660171e-06	1.24411366910947e-05	0.000133951251274672	0	0	3.11331600500471e-05	0.000127542137056671	0.0170803452581564	0.00491675209359635	0.0504025217025496	1.25026229145493e-05	0	0	4.80392876793759e-05	3.57420374188124e-06	0	0	0	1.02659856593961e-05	0	0	2.23846059209322e-05	0	5.29438856267383e-05	0.000162621652012183	2.61531891557584e-05	0	2.3119366660631e-06	7.9473314022333e-05	0.00146796204308499	0.00150023737965174	5.883329699131e-06	1.80003043762486e-05	0	2.31246235137368e-05	1.97743158737473e-05	1.08974500277156e-05	0.000305488003144712	9.59404161339078e-05
SMGC_184	0.00114756682762144	0.00126609473458502	0	8.8984319329567e-05	0.00183482149447193	0.00248312217149088	0	0.000162816017100845	5.08360605719178e-05	0.00532152328398194	0	0	0.00343419147593797	0.00114783219990175	0	0.000260627712177343	0	0.000312466149679459	5.91404598560895e-05	0.00726658218913431	0.00210619097015928	0.0185224307390652	0.00169397723765042	3.14491787640763e-05	0.000107001107007105	0	0.00061121529530405	0.000597580316710574	0	0.000311092888390208	0.000204306526090891	0.000754816323431476	0	0	0	0.000354705636913084	0.001604559819776	0	0.000190842189224333	0.000938809403738407	0.00205659112297032	0.000247632612052653	0	0.000641135865969649	0.000864541515110856	0	0	0.000669397900209613	0.000623091623693713	0.000141474666686727	0
SMGC_19	0	0	4.10400287543643e-06	5.82864279494131e-06	0	0.000149474421870221	0	0.000386644597708243	7.58083534228063e-07	0.0028084049500978	0	0.00172075264309358	0.000431151242451535	0.000382035680316353	0.000145021943257243	0.000621821917983302	0	1.56717477536136e-05	0	0.000200618179423435	0.000280677602675506	0.000540776789643526	1.73905877937238e-05	1.10811509975155e-06	0	4.54379155779696e-05	3.64405024353438e-05	0	0	0	5.23652379803242e-05	7.45885175655985e-05	0	0	0	2.21270565562773e-05	0.000751992062071742	0	0	0	0	0	0	7.84169919443402e-06	3.87580210482122e-05	0	0	5.01248405125777e-05	2.0994112288436e-05	3.07273805990739e-05	1.74429536802944e-05
SMGC_20	0.00190342043192378	0	4.42676988541877e-05	0	0	0	9.04425283167963e-05	0	6.88313649567033e-05	0.00220651954377865	0.000391853017826786	0.00370100298032385	0	5.22476855407945e-05	0.00478236725375639	0	0.000889014395608465	0	0	0.000237547283138714	0.000461790768759864	0	0	0	0	0	0.00046076290075037	0	0	0	0	0	7.1199420048129e-05	0.000621864449677546	0	0	0	0	0	0	0	0.00142656785389984	0.000183300182972183	0	0.000244920865924511	0	0	0	0	0	6.10114908689831e-05
SMGC_200	7.24562705354557e-05	0	1.9893333303844e-05	7.92178819782734e-05	0	0.000972556302991843	0	7.31093513354409e-06	3.94465101791409e-06	0	0	0	0	2.49679318125782e-05	0.000550965653909575	2.76323288578317e-07	0	5.64072225389336e-06	0	0.000347735287243606	0	3.65823195193297e-05	0	0	0	0	0.000145929369898977	0	0	0	0.000240195705894988	0	0	0	0.000205102003158029	0	0.000407472472535545	0	0	0	0	9.72471735777373e-05	0.000375685048138177	6.47479523460398e-06	1.12795606095482e-05	0	0	1.21462179508743e-05	0	0	1.90319246015643e-05
