Group.1	1-Abd	1-FH	1-UB	1-AC	2-AC	2-FH	2-PC	2-UB	3-AC	3-Abd	3-FH	3-PC	3-UB	4-AC	4-FA	4-FH	4-PC	4-UB	5-AC	5-FA	5-FH	5-PC	5-UB	6-AC	6-FH	6-PC	6-UB	7-FA	7-FH	7-PC	7-UB	8-AC	8-Abd	8-FA	8-FH	8-PC	8-UB	9-AC	9-FH	9-PC	10-Abd	10-FA	10-FH	10-UB	11-AC	11-FA	11-FH	11-PC	11-UB
Cutibacterium acnes	3285874	3653474	3791134	3337555	499572	2999465	64481	3543460	943069	5039831	1927352	2377849	2637454	2967823	3448945	3866713	123987	4324465	12177589	6615835	3460297	2658347	1983048	4995977	4191021	777838	367392	5345085	3682991	2389587	5113206	413039	1622214	2021028	12542161	468636	3901345	1212087	389900	419706	785063	149151	3250476	4469696	59689	738545	3111762	93068	2915704
Cutibacterium granulosum	65910.5	62158.5	1277681	144146	10041	25021	993	66078	30405	22355	2180	16763	3935	125080	86446	32584	3505	324711	118450	57258	13221	15613	4973	20764	26828	4426	9878	28848	4093	14109	114766	4891	17697	23849	45876	7297	35390	7318	18530	5981	14321	4120	79389	351399	351	5568	177453	1224	194009
Propionibacterium namnetense	9199	22462	15682.5	14960	8548	19010	1065	30969	10972	50180	13451	33523	17211	28602	55287	16621	2052	16017	84078	32998	12609	24442	6649	215765	38450	46684	6823	32502	15028	11416	29525	4461	15170	23896	105817	6039	37053	9236	6043	6248	13517	3797	30755	47310	134	1393	6427	310	5503
Micrococcus luteus	476	337.5	611.5	2384	70570	461	5693	8984	30718	149152	860	258559	1984	101096	54288	2252	19759	725	96075	149023	1847	178577	1522	3659714	326248	2057852	20580	7904	125	15746	503	27205	11553	43940	3623	24757	24374	1070955	75063	2039885	94309	21770	5386	9415	1698	36751	1311	19563	3099
Propionibacterium humerusii	25584	24003.5	17249.5	37553	3242	17251	266	6932	6622	107669	43284	38621	57017	17221	12753	18937	559	35398	109062	63148	39479	18144	10822	7087	9216	1776	484	40358	36219	23378	25647	1112	4405	5458	32220	1395	12295	2958	11269	1355	2524	841	2420	861	627	4079	27525	513	3313
Corynebacterium aurimucosum	2093.5	7916.5	591.5	15654	7807	1935	4939	2571	8220	47100	3234	165684	618	23083	35152	2998	4389	720	36455	64104	87497	35169	991	56944	16050	127519	458	43846	3752	45298	1450	4129	12878	20134	6003	30077	10132	189679	15482	231899	29725	4222	17174	2501	128	3388	931	12488	434
Staphylococcus capitis	66.5	6191	197	229	1298	1103	261	3755	1668	10106	1189	34384	132	8354	5838	893	13872	84	1058	3703	520	5679	261	8024	11085	2857	104	4041	3575	3969	618	746	2274	2591	36980	1704	11614	4594	905	6073	1897	2178	3476	797	114	636	68	935	673
Cutibacterium avidum	1586	1689	6832.5	2446	596	1481	465	962	858	4165	1273	8910	1607	3241	3256	1846	408	3049	14547	10226	2118	4817	676	4930	652	2406	74	5167	1843	6172	3396	363	1146	1153	1688	4312	2035	2565	1516	7086	417	289	528	1744	27	337	1986	2166	2137
Staphylococcus epidermidis	12	793	38.5	888	2238	5571	480	2783	1299	1935	264	3588	174	5191	2372	521	179	86	991	1546	1582	2967	441	953	2940	599	48	2171	396	711	99	223	667	876	4246	666	1166	2547	845	1993	798	596	10945	252	18	179	108	763	49
Corynebacterium accolens	287.5	725.5	107	527	1811	32	173	109	2669	2104	131	5507	54	4768	5280	306	229	107	2799	6698	392	2482	69	1810	325	1337	11	702	79	1228	40	521	2169	2818	640	868	985	4012	22906	5296	4034	1062	876	2969	410	30521	679	1826	1340
Brachybacterium paraconglomeratum	25.5	61	25	281	3230	243	191	929	13656	442	7	887	1	63063	21564	1323	6937	358	72308	105466	16209	95302	1900	27534	2569	25894	240	796	21	2331	37	5941	6028	12625	1607	7919	8278	227	4910	1563	2235	768	44	95	7	90	32	87	13
Streptococcus mitis	45	127.5	37	108	2119	355	145	354	3844	534	18	623	10	4259	3887	1548	385	45	1849	7638	77	570	28	2846	1013	1906	35	10897	662	2390	279	606	3073	3205	3828	1016	2746	2139	1629	348	459	386	45	52	22	405	17	64	27
Kocuria palustris	16	90.5	53.5	174	1248	249	629	1003	1207	780	9	1046	4	2912	2197	59	607	15	41940	49370	11693	25249	1062	75674	7433	43549	475	688	11	606	32	271	541	829	224	591	827	3801	12346	11850	2550	919	57	103	14	312	14	181	30
Escherichia coli	41	15	31	601	8938	49	3699	214	3027	1096	11	1335	9	10763	735	21	553	12	712	1979	8	967	35	318	27	386	99	568	8	979	31	67	232	123	49	633	102	667	73472	432	17571	3352	27	136	7	77	5	214	13
Staphylococcus hominis	50	79.5	19	104	234	86	34	1327	4738	1528	6078	8678	58	27916	4253	96	1147	46	1017	1459	25	5710	31	787	114	525	8	5253	464	10711	132	600	1229	912	584	5384	1084	16610	1709	7224	2533	1567	156	232	18	173	2	258	28
Corynebacterium amycolatum	178.5	91.5	38.5	372	2749	34	3321	240	286	794	15	2899	7	1265	2903	28	492	47	945	2102	7	3281	18	2953	180	6235	18	1358	30	5576	43	1710	7633	8449	437	115219	3054	3906	1179	5799	954	67	37	110	38	970	28	4819	158
Dermacoccus nishinomiyaensis	14.5	15.5	9.5	151	2389	35	123	185	1013	810	554	502	2	1595	1463	31	689	33	267	353	21	3582	9	711293	66180	274770	3269	1380	16	2595	50	260	559	704	80	697	1195	502	18968	1109	8398	1581	39	94	5	48	5	105	18
Rothia dentocariosa	126.5	158.5	107	237	7501	187	256	674	13370	721	28	1782	10	7134	7016	6181	1117	66	7495	29353	257	2370	299	3572	1265	1430	32	2347	85	3390	56	259	730	1158	527	419	871	915	1994	219	922	354	77	84	7	167	7	26	21
Mycobacterium mucogenicum	154	9.5	30	118	4592	13	1320	339	817	971	8	1750	25	1488	1655	34	264	36	573	1406	3	769	29	1370	118	12980	15	3800	16	4945	185	358	605	704	160	608	1466	932	21	9181	3836	1435	206	4750	48	1148	3	499	91
Kytococcus sedentarius	33.5	31	20	231	2766	14	399	133	902	761	10	1615	7	2129	1103	49	556	17	89025	129149	2329	186515	1889	8905	705	5406	70	280	6	730	10	173	200	310	48	342	386	3585	5959	23201	7729	3061	674	1014	3	194	8	108	23
Actinomyces oris	13.5	60	35	58	2982	254	100	2486	2823	501	17	539	3	4846	4177	6136	395	32	8366	26580	326	2980	298	1513	1100	859	13	2067	117	1123	69	167	583	732	395	574	475	743	373	492	409	362	92	75	1	112	14	51	10
Rothia mucilaginosa	175.5	233	206.5	350	12495	291	413	1481	12650	1007	39	2792	8	2751	1417	288	478	19	2514	1576	45	869	36	4500	506	1712	21	2737	86	3025	91	208	1735	977	1518	581	725	2459	1049	178	357	172	35	46	12	50	1	16	3
Lawsonella clevelandensis	80.5	127	14.5	75	360	15	396	75	774	143	22	178	0	1454	2487	114	219	46	650	2484	108	1499	30	1841	1781	1018	19	898	30	722	69	654	2171	1971	404	28169	2119	759	333	601	313	95	13	27	16	448	785	1903	50
