-e Sample	Alignment_to_SMGC
-e 10-Abd_PMA_S112	2827418
-e 10-Abd_S108	4712402
-e 10-AC_S105	5852571
-e 10-FA_PMA_S111	4945038
-e 10-FA_S107	1362512
-e 10-FH_PMA_S109	9019801
-e 10-FH_S103	6981733
-e 10-PC_S106	7245636
-e 10-UB_PMA_S110	9800182
-e 10-UB_S104	10160199
-e 11-Abd_S118	1293570
-e 11-AC_PMA_S121	718706
-e 11-AC_S115	169977
-e 11-FA_PMA_S123	2696220
-e 11-FA_S117	2120638
-e 11-FH_PMA_S119	6456109
-e 11-FH_S113	6101960
-e 11-PC_PMA_S122	672521
-e 11-PC_S116	691991
-e 11-UB_PMA_S120	6843567
-e 11-UB_S114	5943091
-e 1-Abd-PMA_S8	24992370
-e 1-Abd_S3	8057481
-e 1-AC-PMA_S6	22173834
-e 1bis-Abd-PMA_S18	7340409
-e 1bis-Abd_S12	4362581
-e 1bis-AC-PMA_S15	9113964
-e 1bis-AC_S11	6816183
-e 1bis-FA-PMA_S17	11218926
-e 1bis-FH-PMA_S13	8125005
-e 1bis-FH_S9	7407423
-e 1bis-PC-PMA_S16	11942732
-e 1bis-UB-PMA_S14	7423159
-e 1bis-UB_S10	6136130
-e 1-FH-PMA_S4	10483152
-e 1-FH_S1	8322068
-e 1-PC-PMA_S7	8804096
-e 1-UB-PMA_S5	10490299
-e 1-UB_S2	12468289
-e 2-Abd-PMA_S28	6987038
-e 2-AC-PMA_S26	6115925
-e 2-AC_S21	5733700
-e 2-FA_S23	7580817
-e 2-FH-PMA_S24	6667230
-e 2-FH_S19	6529414
-e 2-PC-PMA_S27	6660023
-e 2-PC_S22	3083799
-e 2-UB-PMA_S25	11945077
-e 2-UB_S20	8003629
-e 3-Abd-PMA_S39	14488426
-e 3-Abd_S34	14654771
-e 3-AC-PMA_S37	10405238
-e 3-AC_S31	7907990
-e 3-FA_S33	7009274
-e 3-FH-PMA_S35	4938165
-e 3-FH_S29	5061369
-e 3-PC-PMA_S38	11633478
-e 3-PC_S32	12039071
-e 3-UB-PMA_S36	5824576
-e 3-UB_S30	4872577
-e 4-Abd_S45	30996946
-e 4-AC-PMA_S48	10324449
-e 4-AC_S42	10759787
-e 4-FA-PMA_S50	7496629
-e 4-FA_S44	11169304
-e 4-FH-PMA_S46	21229540
-e 4-FH_S40	8771461
-e 4-PC-PMA_S49	4501402
-e 4-PC_S43	823927
-e 4-UB-PMA_S47	20075799
-e 4-UB_S41	9180114
-e 5-Abd_S56	39987474
-e 5-AC-PMA_S59	16693558
-e 5-AC_S53	32897029
-e 5-FA-PMA_S61	24117548
-e 5-FA_S55	23541037
-e 5-FH-PMA_S57	7437098
-e 5-FH_S51	7298358
-e 5-PC-PMA_S60	19026887
-e 5-PC_S54	11120096
-e 5-UB-PMA_S58	26771308
-e 5-UB_S52	3796158
-e 6-Abd_S67	14474616
-e 6-AC-PMA_S70	18989636
-e 6-AC_S64	22544981
-e 6-FA_S66	12204747
-e 6-FH-PMA_S68	6328045
-e 6-FH_S62	10267735
-e 6-PC-PMA_S71	8207850
-e 6-PC_S65	8979182
-e 6-UB-PMA_S69	2121918
-e 6-UB_S63	719158
-e 7-Abd_S77	24367944
-e 7-AC_S74	12351356
-e 7-FA-PMA_S81	14010221
-e 7-FA_S76	15239283
-e 7-FH-PMA_S78	10704493
-e 7-FH_S72	7393774
-e 7-PC-PMA_S80	4181888
-e 7-PC_S75	7588285
-e 7-UB-PMA_S79	25992512
-e 7-UB_S73	10401065
-e 8-Abd_PMA_S93	6518365
-e 8-Abd_S87	4370029
-e 8-AC_PMA_S90	1772925
-e 8-AC_S84	1379792
-e 8-FA_PMA_S92	11208353
-e 8-FA_S86	5308229
-e 8-FH_PMA_S88	8174732
-e 8-FH_S82	24677282
-e 8-PC_PMA_S91	5206136
-e 8-PC_S85	4559973
-e 8-UB_PMA_S89	4789701
-e 8-UB_S83	9984971
-e 9-Abd_S99	7548623
-e 9-AC_PMA_S101	6052105
-e 9-AC_S96	8093648
-e 9-FA_S98	8288397
-e 9-FH_PMA_S100	5163412
-e 9-FH_S94	9224890
-e 9-PC_PMA_S102	10127941
-e 9-PC_S97	9988436
-e 9-UB_S95	11029678
