-e Sample	Alignment_to_SMGC
-e 10-Abd_PMA_S112	21.96%
-e 10-Abd_S108	53.97%
-e 10-AC_S105	59.48%
-e 10-FA_PMA_S111	59.16%
-e 10-FA_S107	30.79%
-e 10-FH_PMA_S109	83.23%
-e 10-FH_S103	82.37%
-e 10-PC_S106	N/A
-e 10-UB_PMA_S110	85.83%
-e 10-UB_S104	88.18%
-e 11-Abd_S118	80.53%
-e 11-AC_PMA_S121	79.50%
-e 11-AC_S115	54.98%
-e 11-FA_PMA_S123	73.26%
-e 11-FA_S117	81.80%
-e 11-FH_PMA_S119	94.30%
-e 11-FH_S113	93.87%
-e 11-PC_PMA_S122	52.06%
-e 11-PC_S116	64.06%
-e 11-UB_PMA_S120	92.12%
-e 11-UB_S114	92.00%
-e 1-Abd-PMA_S8	96.69%
-e 1-Abd_S3	96.47%
-e 1-AC-PMA_S6	89.37%
-e 1bis-Abd-PMA_S18	97.41%
-e 1bis-Abd_S12	96.39%
-e 1bis-AC-PMA_S15	96.20%
-e 1bis-AC_S11	95.60%
-e 1bis-FA-PMA_S17	86.81%
-e 1bis-FH-PMA_S13	93.14%
-e 1bis-FH_S9	91.73%
-e 1bis-PC-PMA_S16	56.09%
-e 1bis-UB-PMA_S14	91.58%
-e 1bis-UB_S10	92.57%
-e 1-FH-PMA_S4	96.09%
-e 1-FH_S1	93.95%
-e 1-PC-PMA_S7	61.47%
-e 1-UB-PMA_S5	93.72%
-e 1-UB_S2	94.06%
-e 2-Abd-PMA_S28	48.05%
-e 2-AC-PMA_S26	46.34%
-e 2-AC_S21	42.04%
-e 2-FA_S23	51.71%
-e 2-FH-PMA_S24	95.68%
-e 2-FH_S19	95.40%
-e 2-PC-PMA_S27	41.55%
-e 2-PC_S22	43.51%
-e 2-UB-PMA_S25	76.54%
-e 2-UB_S20	85.81%
-e 3-Abd-PMA_S39	77.19%
-e 3-Abd_S34	88.82%
-e 3-AC-PMA_S37	87.47%
-e 3-AC_S31	74.55%
-e 3-FA_S33	79.27%
-e 3-FH-PMA_S35	95.84%
-e 3-FH_S29	94.36%
-e 3-PC-PMA_S38	49.43%
-e 3-PC_S32	73.73%
-e 3-UB-PMA_S36	94.87%
-e 3-UB_S30	92.86%
-e 4-Abd_S45	79.55%
-e 4-AC-PMA_S48	58.18%
-e 4-AC_S42	63.68%
-e 4-FA-PMA_S50	61.29%
-e 4-FA_S44	70.06%
-e 4-FH-PMA_S46	93.81%
-e 4-FH_S40	93.98%
-e 4-PC-PMA_S49	54.76%
-e 4-PC_S43	48.40%
-e 4-UB-PMA_S47	96.38%
-e 4-UB_S41	96.33%
-e 5-Abd_S56	80.71%
-e 5-AC-PMA_S59	87.71%
-e 5-AC_S53	90.01%
-e 5-FA-PMA_S61	82.25%
-e 5-FA_S55	84.53%
-e 5-FH-PMA_S57	97.67%
-e 5-FH_S51	96.34%
-e 5-PC-PMA_S60	70.11%
-e 5-PC_S54	74.20%
-e 5-UB-PMA_S58	93.68%
-e 5-UB_S52	94.61%
-e 6-Abd_S67	80.27%
-e 6-AC-PMA_S70	70.80%
-e 6-AC_S64	84.23%
-e 6-FA_S66	83.24%
-e 6-FH-PMA_S68	86.04%
-e 6-FH_S62	88.24%
-e 6-PC-PMA_S71	60.03%
-e 6-PC_S65	77.74%
-e 6-UB-PMA_S69	81.24%
-e 6-UB_S63	73.35%
-e 7-Abd_S77	91.48%
-e 7-AC_S74	87.98%
-e 7-FA-PMA_S81	67.80%
-e 7-FA_S76	84.73%
-e 7-FH-PMA_S78	96.46%
-e 7-FH_S72	93.84%
-e 7-PC-PMA_S80	61.02%
-e 7-PC_S75	73.84%
-e 7-UB-PMA_S79	90.57%
-e 7-UB_S73	92.49%
-e 8-Abd_PMA_S93	70.38%
-e 8-Abd_S87	82.18%
-e 8-AC_PMA_S90	69.31%
-e 8-AC_S84	77.26%
-e 8-FA_PMA_S92	78.20%
-e 8-FA_S86	84.07%
-e 8-FH_PMA_S88	91.03%
-e 8-FH_S82	90.66%
-e 8-PC_PMA_S91	61.82%
-e 8-PC_S85	72.42%
-e 8-UB_PMA_S89	74.34%
-e 8-UB_S83	79.98%
-e 9-Abd_S99	80.60%
-e 9-AC_PMA_S101	56.48%
-e 9-AC_S96	82.44%
-e 9-FA_S98	79.80%
-e 9-FH_PMA_S100	90.96%
-e 9-FH_S94	66.12%
-e 9-PC_PMA_S102	57.96%
-e 9-PC_S97	74.88%
-e 9-UB_S95	94.25%
