#FeatureID	1-AC-PMA_filtered	1-Abd-PMA_filtered	1-Abd_filtered	1-FH-PMA_filtered	1-FH_filtered	1-PC-PMA_filtered	1-UB-PMA_filtered	1-UB_filtered	10-AC_filtered	10-Abd_PMA_filtered	10-Abd_filtered	10-FA_PMA_filtered	10-FA_filtered	10-FH_PMA_filtered	10-FH_filtered	10-PC_filtered	10-UB_PMA_filtered	10-UB_filtered	11-AC_PMA_filtered	11-AC_filtered	11-Abd_filtered	11-FA_PMA_filtered	11-FA_filtered	11-FH_PMA_filtered	11-FH_filtered	11-PC_PMA_filtered	11-PC_filtered	11-UB_PMA_filtered	11-UB_filtered	1bis-AC-PMA_filtered	1bis-AC_filtered	1bis-Abd-PMA_filtered	1bis-Abd_filtered	1bis-FA-PMA_filtered	1bis-FH-PMA_filtered	1bis-FH_filtered	1bis-PC-PMA_filtered	1bis-UB-PMA_filtered	1bis-UB_filtered	2-AC-PMA_filtered	2-AC_filtered	2-Abd-PMA_filtered	2-FA_filtered	2-FH-PMA_filtered	2-FH_filtered	2-PC-PMA_filtered	2-PC_filtered	2-UB-PMA_filtered	2-UB_filtered	3-AC-PMA_filtered	3-AC_filtered	3-Abd-PMA_filtered	3-Abd_filtered	3-FA_filtered	3-FH-PMA_filtered	3-FH_filtered	3-PC-PMA_filtered	3-PC_filtered	3-UB-PMA_filtered	3-UB_filtered	4-AC-PMA_filtered	4-AC_filtered	4-Abd_filtered	4-FA-PMA_filtered	4-FA_filtered	4-FH-PMA_filtered	4-FH_filtered	4-PC-PMA_filtered	4-PC_filtered	4-UB-PMA_filtered	4-UB_filtered	5-AC-PMA_filtered	5-AC_filtered	5-Abd_filtered	5-FA-PMA_filtered	5-FA_filtered	5-FH-PMA_filtered	5-FH_filtered	5-PC-PMA_filtered	5-PC_filtered	5-UB-PMA_filtered	5-UB_filtered	6-AC-PMA_filtered	6-AC_filtered	6-Abd_filtered	6-FA_filtered	6-FH-PMA_filtered	6-FH_filtered	6-PC-PMA_filtered	6-PC_filtered	6-UB-PMA_filtered	6-UB_filtered	7-AC_filtered	7-Abd_filtered	7-FA-PMA_filtered	7-FA_filtered	7-FH-PMA_filtered	7-FH_filtered	7-PC-PMA_filtered	7-PC_filtered	7-UB-PMA_filtered	7-UB_filtered	8-AC_PMA_filtered	8-AC_filtered	8-Abd_PMA_filtered	8-Abd_filtered	8-FA_PMA_filtered	8-FA_filtered	8-FH_PMA_filtered	8-FH_filtered	8-PC_PMA_filtered	8-PC_filtered	8-UB_PMA_filtered	8-UB_filtered	9-AC_PMA_filtered	9-AC_filtered	9-Abd_filtered	9-FA_filtered	9-FH_PMA_filtered	9-FH_filtered	9-PC_PMA_filtered	9-PC_filtered	9-UB_filtered
[Propionibacterium] namnetense	45880	34176	11757	21531	21779	24547	18139	21630	19115	5739	13517	5554	3797	30912	30755	19341	32074	47310	433	134	1176	2290	1393	7791	6427	469	310	5242	5503	16207	14960	10274	6641	33596	20296	23145	32702	10937	9735	7681	8548	13166	23087	11407	19010	3356	1065	39006	30969	40	10972	42167	50180	16550	15746	13451	29547	33523	20897	17211	20396	28602	141374	33730	55287	32990	16621	9109	2052	34139	16017	48419	84078	80395	37856	32998	11974	12609	51585	24442	46714	6649	149414	215765	52214	206031	21408	38450	40969	46684	13450	6823	29330	47205	30365	32502	22278	15028	4611	11416	62810	29525	5085	4461	20358	15170	42097	23896	25495	105817	7589	6039	14535	37053	4246	9236	6405	8427	7377	6043	5315	6248	19222
Abiotrophia defectiva	366	7	9	16	21	286	32	26	0	0	0	56	82	2	0	6	0	1	0	0	1	35	17	0	0	4	4	1	1	153	9	5	0	134	8	11	120	0	0	141	331	51	58	0	0	1418	33	8	2	1632	156	969	2	16	0	1	56	61	1	1	391	1293	2564	562	939	1376	787	430	101	0	5	85	537	291	431	436	8	11	170	175	12	3	835	806	304	1314	214	226	1041	273	22	7	2202	1110	1775	1361	85	105	777	358	106	43	93	74	376	279	518	242	45	269	54	110	100	200	20	10	14	49	0	164	132	29	0
Acinetobacter johnsonii	117	10	6	3	11	69	13	8	2610	64	475	275	363	69	78	313	213	174	10	7	24	81	72	0	5	51	73	3	11	35	20	5	0	294	5	7	393	2	4	863	809	485	699	0	5	959	498	147	36	78	184	951	992	499	0	2	1757	1915	18	14	354	445	869	310	494	34	11	444	66	0	8	60	59	828	189	117	0	2	497	208	12	3	611	231	70	333	23	26	891	188	25	8	197	216	1337	1152	36	42	223	1042	77	20	256	226	1037	582	1171	488	281	1040	557	448	665	913	241	36	69	1038	15	863	461	95	1
Acinetobacter lwoffii	15	2	0	0	0	39	0	0	142	118	237	152	111	16	12	60	46	52	0	2	2	31	13	0	0	8	4	0	1	1	2	0	0	1	1	0	1	0	0	35	38	0	13	0	0	16	0	18	5	4	1	103	95	69	0	2	333	237	3	4	81	29	111	25	42	2	0	58	12	0	1	11	7	18	42	7	0	0	32	9	0	0	17	9	9	15	3	1	141	14	0	0	77	82	241	221	16	7	135	357	18	8	32	18	177	104	124	98	62	279	43	52	99	153	14	6	7	267	0	67	20	11	0
Acinetobacter sp. BMW17	87	2	5	3	3	65	3	0	1634	174	402	219	240	95	83	186	220	200	5	2	8	38	17	0	0	25	34	3	3	35	3	0	0	65	2	0	197	2	0	210	440	844	48	0	1	77	22	29	3	0	215	95	43	73	1	3	453	93	3	2	284	180	472	157	183	18	3	160	33	0	3	29	16	124	142	20	0	1	87	54	6	0	39	62	41	66	19	3	406	30	3	0	221	384	997	832	16	18	484	1102	32	9	133	167	907	442	629	338	235	986	313	280	474	917	177	6	17	1201	0	301	234	11	3
Acinetobacter ursingii	388	8	14	35	32	565	5	4	2042	513	1262	1097	280	203	205	185	398	444	8	8	23	114	41	5	4	61	77	6	4	0	37	2	8	807	31	27	435	2	5	680	974	98	2431	12	5	219	42	260	60	210	415	8942	9372	5381	14	29	22437	49181	43	133	1158	1388	2262	1093	1527	211	54	839	171	1	14	112	47	228	146	58	0	0	642	122	6	1	2139	1569	564	1979	180	72	1411	781	52	20	615	492	1800	1225	80	78	463	1185	291	67	645	730	2161	1087	4209	2119	248	697	1765	1787	913	1521	501	20	87	3909	58	1167	478	28	2
Actinobaculum sp. oral taxon 183	104	8	3	4	17	24	4	2	37	20	223	156	3	44	32	211	17	12	5	0	3	40	31	0	2	2	4	1	2	0	0	0	0	33	12	1	88	1	2	382	726	113	3469	14	54	277	20	2121	2183	0	317	76	125	60	0	2	31	64	1	0	97	634	1795	362	436	66	77	114	24	0	1	725	2749	7430	2568	3665	46	164	999	1046	579	95	230	108	93	423	31	75	822	78	4	0	40	0	59	121	3	0	13	0	9	2	116	20	164	111	338	116	18	55	192	93	27	66	543	994	81	54	0	1	55	53	1
Actinomyces johnsonii	237	23	21	29	43	156	26	7	165	59	81	131	224	47	50	270	24	15	5	0	2	29	16	1	0	4	1	2	6	39	23	1	6	282	10	16	174	7	3	550	610	528	1143	20	49	256	39	1070	937	564	878	6	31	85	2	6	282	118	0	0	622	307	531	185	239	311	193	63	39	14	5	512	1659	4595	2517	3388	26	75	729	747	403	45	561	387	309	1273	98	298	433	207	15	4	448	631	525	377	14	19	194	232	53	26	20	35	76	46	166	99	9	54	103	43	30	68	169	135	111	114	0	266	97	78	1
Actinomyces massiliensis	115	8	7	15	43	43	5	4	101	193	248	167	59	25	37	1199	30	21	2	0	0	18	8	4	0	100	3	0	1	0	19	0	0	296	5	7	49	3	3	150	423	0	499	16	48	84	15	463	416	0	458	4	33	194	0	5	182	80	1	0	580	140	372	65	114	30	35	57	8	0	0	1170	4522	13152	6598	11501	82	165	1943	1703	735	166	270	264	132	222	31	50	252	60	4	0	636	377	380	594	19	22	1996	241	57	27	61	7	29	49	124	42	3	20	166	104	35	21	239	1562	70	280	0	557	423	555	3
Actinomyces neuii	3	2	0	0	0	137	1	0	0	0	72	0	0	0	1	26	0	2	0	0	0	0	0	0	0	6	27	0	1	0	0	0	0	0	2	0	14	0	0	54	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	1	0	0	3	0	0	1	2	16	0	1	0	0	2	0	2	0	5	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	4	0	0	0	15	0	0	2	0	56	50	21	2	3	22	51	0
