Taxa	median
Cutibacterium acnes	741927.644670015
Cutibacterium namnetense	30016.0836525934
Cutibacterium humerusii	13759.5810858625
Lawsonella clevelandensis	13101.7351928242
Micrococcus luteus	11156.3499698388
Cutibacterium granulosum	10255.7517368012
Corynebacterium kefirresidentii	4712.60631603295
Cutibacterium avidum	3938.65167876349
Staphylococcus epidermidis	3226.31974395701
Actinomyces viscosus	1288.73698976103
Staphylococcus capitis	1129.45817545323
Corynebacterium aurimucosum	1036.97736324558
Corynebacterium pseudogenitalium	817.230929434527
Streptococcus mitis	817.124776279992
Brachybacterium paraconglomeratum	546.8839286151
other	8557.19161235744
other	4574.22991216664
other	1202.4402122495
other	883.091744030242
other	568.653456438238
other	458.49712977909
other	383.682660290268
other	382.601480992158
other	356.610947188491
other	315.830777653855
other	304.388498089474
other	294.96450275901
other	284.938197867376
other	244.768456385252
other	234.186553345984
other	208.664540001696
other	206.968486204188
other	205.422994609842
other	202.987016629393
other	197.886620108731
other	192.748642153273
other	174.821447332477
other	171.854704910149
other	166.871162311605
other	163.821862547744
other	161.913576394398
other	160.626269130375
other	146.39282333691
other	143.280607143342
other	138.147336328013
other	136.178580444112
other	134.980586621884
other	130.811805512967
other	126.198716585409
other	124.593493246503
other	118.362197936625
other	113.224172788848
other	112.799804238444
other	111.296008722661
other	109.824870296173
other	104.291597570334
other	102.697912648481
other	102.34887218688
other	100.14188065723
other	100.072294018022
other	96.1101899500216
other	95.4222396062036
other	95.0964469453922
other	88.0508747625042
other	86.1741573677347
other	85.1639211985098
other	84.241599277229
other	83.0037318093813
other	81.142924867286
other	76.7001843220634
other	76.6142728138421
other	73.759852263579
other	73.5214092475102
other	71.2964730887096
other	67.0743537527597
other	64.1628024551625
other	58.2828956978219
other	55.1987690556954
other	53.3508088159706
other	50.7779017409638
other	41.2457518209366
other	39.4980791693243
other	39.2194706752479
other	33.7204365276925
other	33.2410229997688
other	27.4726173733653
other	13.2396831414269
other	12.7172059070856
other	9.53524211762043
other	8.48057195587037
other	8.47622097187623
