"#OTU ID"	"1-FH"	"1-FH-PMA"	"1-UB"	"1-UB-PMA"	"1-AC-PMA"	"1-PC-PMA"	"1-Abd"	"1-Abd-PMA"	"2-FH"	"2-FH-PMA"	"2-UB"	"2-UB-PMA"	"2-AC"	"2-AC-PMA"	"2-PC"	"2-PC-PMA"	"2-FA"	"2-Abd-PMA"	"3-FH"	"3-FH-PMA"	"3-UB"	"3-UB-PMA"	"3-AC"	"3-AC-PMA"	"3-PC"	"3-PC-PMA"	"3-FA"	"3-Abd"	"3-Abd-PMA"	"4-FH"	"4-FH-PMA"	"4-UB"	"4-UB-PMA"	"4-AC"	"4-AC-PMA"	"4-PC"	"4-PC-PMA"	"4-FA"	"4-FA-PMA"	"4-Abd"	"5-FH"	"5-FH-PMA"	"5-UB"	"5-UB-PMA"	"5-AC"	"5-AC-PMA"	"5-PC"	"5-PC-PMA"	"5-FA"	"5-FA-PMA"	"5-Abd"	"6-FH"	"6-FH-PMA"	"6-UB"	"6-UB-PMA"	"6-AC"	"6-AC-PMA"	"6-PC"	"6-PC-PMA"	"6-FA"	"6-Abd"	"7-FH"	"7-FH-PMA"	"7-UB"	"7-UB-PMA"	"7-AC"	"7-PC"	"7-PC-PMA"	"7-FA"	"7-FA-PMA"	"7-Abd"	"8-FH"	"8-FH-PMA"	"8-UB"	"8-UB-PMA"	"8-AC"	"8-AC-PMA"	"8-PC"	"8-PC-PMA"	"8-FA"	"8-FA-PMA"	"8-Abd"	"8-Abd-PMA"	"9-FH"	"9-FH-PMA"	"9-UB"	"9-AC"	"9-AC-PMA"	"9-PC"	"9-PC-PMA"	"9-FA"	"9-Abd"	"10-FH"	"10-FH-PMA"	"10-UB"	"10-UB-PMA"	"10-AC"	"10-PC"	"10-FA"	"10-FA-PMA"	"10-Abd"	"10-Abd-PMA"	"11-FH"	"11-FH-PMA"	"11-UB"	"11-UB-PMA"	"11-AC"	"11-AC-PMA"	"11-PC"	"11-PC-PMA"	"11-FA"	"11-FA-PMA"	"11-Abd"	"12-FH"	"12-FH-PMA"	"12-UB"	"12-UB-PMA"	"12-AC"	"12-AC-PMA"	"12-PC-PMA"	"12-FA-PMA"	"12-Abd"	"12-Abd-PMA"
"SMGC_103"	275	136	180	121	2338	13961	567	968	42	18	162	294	646	607	1877	3755	539	552	49	19	22	21	2003	496	556	1876	1199	506	551	259	608	101	112	3158	1984	614	2057	6266	4629	19452	251	160	91	582	2289	860	11862	17957	8160	6941	60526	3227	2623	42	174	4322	6028	2344	2704	5490	1764	81	74	189	600	949	3551	1547	1855	1965	2752	1444	342	6048	3106	3558	3754	94746	103519	8896	19099	10823	17236	2012	92	150	1925	3079	2272	3271	3961	3031	107	114	106	84	116	1365	88	282	182	88	1649	804	310	92	57	90	21289	10728	2095	2245	371	1841	1542	114	111	691	457	48091	5415	514	253
"SMGC_121"	733	581	64	102	2918	3147	48	108	113	64	518	1581	1052	1014	172	478	852	1064	32	12	26	10	2393	1593	1559	2438	414	306	1090	1087	3052	58	34	3720	4171	746	3240	3921	3119	8456	184	142	108	772	1678	760	4587	3258	4735	5216	6317	828	1495	40	122	1556	3647	1509	4319	3305	1033	1496	1264	370	1226	3216	3080	1821	4672	7890	2939	12106	4048	6427	5804	1046	1112	2180	2820	7921	16802	11647	25197	6758	130	390	2249	1949	995	3160	1140	758	1683	2304	315	550	1689	2022	822	2258	1956	678	26	12	100	52	16	36	120	184	160	398	24	750	1035	46	138	293	384	3298	3635	102	34
"SMGC_122"	264	228	151	111	3179	14167	437	396	119	110	428	840	2352	2281	1186	2273	2653	1950	480	102	116	113	1690	1828	52326	47873	18934	15169	14605	298	656	134	30	4006	4793	1146	4754	5378	3813	32747	1146	707	57	275	2764	822	10722	14585	5085	4030	11104	961	833	46	183	5785	8204	11394	11702	3930	4552	154	123	92	291	1515	7817	3307	3964	4533	3632	401	143	1291	762	608	749	5453	5810	2014	4993	1583	2589	7900	184	346	58368	25856	73709	83532	61455	79300	1124	1377	604	545	4697	18740	2554	2546	10268	754	28	15	41	18	24	36	2020	2248	459	626	82	1010	779	90	119	6443	4972	33994	6702	351	164
"SMGC_123"	26	18	16	30	144	2398	106	109	10	4	37	96	299	228	3200	5516	204	1500	10	21	6	12	406	4	747	626	104	136	272	26	100	75	14	1728	320	468	1759	2359	1494	8502	10	10	20	94	936	337	4702	5957	1895	1710	12090	14	12	0	2	21	152	98	2	52	46	8	19	4	44	146	2716	488	535	650	98	744	280	2732	1496	1324	969	70589	53767	4821	8517	6313	7794	366	6	20	139	212	562	450	198	216	14	16	16	36	0	181	40	1110	0	4	11	2	54	32	8	16	11347	9470	396	366	119	146	130	12	16	78	10	6169	568	87	34
"SMGC_134"	68	76	18	30	698	1012	25	14	14	28	134	580	2398	1494	56	484	4886	114	44	32	255	114	1155	34	92918	51174	10169	18432	17577	136	515	26	10	3158	2137	426	1801	3585	2640	5243	0	2	10	28	181	148	338	1561	278	428	795	176	424	32	142	2876	4992	1563	3335	4348	1217	180	198	155	682	1092	2479	1526	2738	3945	1498	1442	515	3246	2310	1629	1498	4086	4128	4526	9873	2243	5257	2410	156	6	60	1729	131	905	8210	224	408	492	986	1015	1931	832	696	2754	2624	1196	12	8	36	10	30	28	230	224	168	260	61	44	90	10	10	62	2	888	1789	12	8
"SMGC_143"	111576	141824	2187054	2108764	688169	79605	202980	447970	58770	42050	166376	272274	28085	37130	2485	14528	45184	49110	6765	5668	10000	10531	88837	5334	44307	54991	42742	58787	25720	81232	254974	666647	2678519	304423	571058	10657	39878	236074	158103	575896	29289	28285	12533	133216	308906	157719	45504	64403	164243	118698	218509	66222	42356	20528	97309	53155	55291	11968	17734	36180	11745	11348	15005	258675	1384216	80044	37599	8008	87765	73583	114483	116616	68073	94948	43030	14127	16728	20462	26976	62290	136366	47353	67805	57486	626714	8474	18741	14276	14564	13826	17467	16797	175793	616477	839217	2405253	830155	31849	12466	27981	38824	7705	373850	584953	449973	806087	1076	3099	4013	4302	15133	17279	5559	172887	204238	2739642	4106526	277914	232125	109769	93503	65178	81346
"SMGC_147"	178	130	46	36	1126	1098	54	86	309	202	476	1240	2421	1429	112	2051	2351	1887	16	2	10	0	4517	1757	578	1400	490	514	802	2244	5678	33	2	5019	4507	519	2332	4402	3103	10839	88	54	36	242	1976	851	830	1559	9748	9754	2877	878	2396	31	112	2137	3499	1578	4847	4172	1473	582	494	212	603	11095	2203	1465	8692	12812	10744	3084	898	2184	1643	557	630	1077	1436	2702	5222	2750	4799	692	34	4	2190	2770	322	976	1516	4887	54	62	54	158	614	354	444	302	421	534	28	20	22	12	32	32	86	164	396	439	72	42	58	8	12	113	267	1110	897	31	18
"SMGC_159"	212	150	294	119	1986	12758	82	392	129	86	2121	4899	15867	13837	1801	5960	16933	9028	213	53	383	250	10116	2643	49007	48899	6598	29432	17000	508	884	163	270	24911	21749	4841	15351	14275	8100	48970	430	206	339	2413	21844	6451	39719	46334	32635	23204	78361	63242	29863	3420	10393	638147	409263	376042	245978	223510	769051	36	30	144	495	1415	3633	2137	2412	3771	4174	910	321	5786	2455	5958	6648	5942	7432	8445	17427	3026	5522	23773	771	2188	188417	63706	354779	250955	121563	104644	1376	1493	2453	2345	25832	166049	6191	24044	21620	7325	506	244	738	273	376	864	4433	2999	7339	9294	3323	283	212	246	236	766	502	16977	2738	157	108
"SMGC_163"	169	98	28	38	1073	1219	84	144	346	330	474	1070	1970	1468	428	1438	2224	2702	44	35	6	12	3384	3441	737	2493	456	487	1258	1443	3430	53	130	3798	3499	448	2388	3297	2478	9048	102	62	36	236	1920	618	992	1567	6753	6521	2654	689	1761	26	108	1887	3273	1279	3798	2950	1015	474	379	170	594	7679	1705	1504	7551	10424	8285	2367	744	2002	1233	478	451	2526	1998	2394	4460	2265	4076	469	50	18	1537	2212	446	776	1469	2017	202	328	60	202	980	877	584	200	846	730	16	29	26	26	10	22	272	266	312	446	33	74	56	11	33	98	211	1056	1083	45	8
"SMGC_170"	7662	9035	8223	7513	18820	19190	6660	20727	5977	5389	7195	11000	3701	6825	605	2370	6235	6381	3630	5190	7325	6952	12152	1879	72861	71774	19122	82565	63855	7032	17775	7596	16594	46425	39967	1465	6319	12688	9444	31930	6410	6739	3997	23588	34760	15879	38571	55765	29429	30781	72784	11146	7611	978	2616	39839	32850	20956	19502	20107	39376	6883	10898	9231	24520	9837	5967	1704	12924	11988	20172	23776	7865	12047	7633	2352	2397	3796	4975	7185	14958	4894	8145	8384	4548	10825	11851	6697	20349	16890	11823	8344	7394	8753	10515	8869	9139	39336	7131	4273	19950	3225	5276	5546	6179	6336	528	923	1983	1516	4263	5510	2204	6925	7825	3538	4141	5826	7263	12092	10084	4486	7389
