Taxa	1-FH	1-FH-PMA	1-UB	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd	1-Abd-PMA	2-FH	2-FH-PMA	2-UB	2-UB-PMA	2-AC	2-AC-PMA	2-PC	2-PC-PMA	2-FA	2-Abd-PMA	3-FH	3-FH-PMA	3-UB	3-UB-PMA	3-AC	3-AC-PMA	3-PC	3-PC-PMA	3-FA	3-Abd	3-Abd-PMA	4-FH	4-FH-PMA	4-UB	4-UB-PMA	4-AC	4-AC-PMA	4-PC	4-PC-PMA	4-FA	4-FA-PMA	4-Abd	5-FH	5-FH-PMA	5-UB	5-UB-PMA	5-AC	5-AC-PMA	5-PC	5-PC-PMA	5-FA	5-FA-PMA	5-Abd	6-FH	6-FH-PMA	6-UB	6-UB-PMA	6-AC	6-AC-PMA	6-PC	6-PC-PMA	6-FA	6-Abd	7-FH	7-FH-PMA	7-UB	7-UB-PMA	7-AC	7-PC	7-PC-PMA	7-FA	7-FA-PMA	7-Abd	8-FH	8-FH-PMA	8-UB	8-UB-PMA	8-AC	8-AC-PMA	8-PC	8-PC-PMA	8-FA	8-FA-PMA	8-Abd	8-Abd-PMA	9-FH	9-FH-PMA	9-UB	9-AC	9-AC-PMA	9-PC	9-PC-PMA	9-FA	9-Abd	10-FH	10-FH-PMA	10-UB	10-UB-PMA	10-AC	10-PC	10-FA	10-FA-PMA	10-Abd	10-Abd-PMA	11-FH	11-FH-PMA	11-UB	11-UB-PMA	11-AC	11-AC-PMA	11-PC	11-PC-PMA	11-FA	11-FA-PMA	11-Abd	12-FH	12-FH-PMA	12-UB	12-UB-PMA	12-AC	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd	12-Abd-PMA
Cutibacterium acnes	909770.748544405	926558.060500583	745040.893537776	723843.168084089	908859.823775934	811802.52689508	920656.579152828	930296.270209097	905954.386616739	873841.673258471	865335.478958823	829500.093132383	377541.329061626	643350.479782204	97738.5187279137	168796.092145096	508072.085448867	431915.292900331	951003.113203806	955698.088153024	952717.206234541	954746.721702754	608283.951013699	137838.568111269	488761.892591361	513420.21225216	704433.902074923	824450.493092021	831651.609403073	900791.950481127	897231.511995527	862224.156460473	807907.633960229	643957.147878583	665850.576113743	421924.179465218	348985.527306184	706197.158302028	692656.882787626	634965.899312144	890532.571201647	925868.92259169	909354.766894076	905257.604692717	854955.037210781	882672.3925103	577990.79361449	664312.089337414	717918.290510792	774738.687223981	683767.433815075	699071.723936393	649762.828738259	768462.272326635	735853.226124728	387432.071953056	463104.216054304	161778.194872754	252935.663597426	452864.528057135	104128.905122136	928893.616856071	943392.66321967	883284.744094455	844937.19207062	888311.157648631	771704.498436099	622154.03774294	857997.774066921	822553.212348229	908492.119688264	874282.002159505	866696.728360384	775664.112695723	740467.379281868	675811.413310799	655556.753616353	244026.966113665	301185.487893564	741927.644670015	731852.855948979	758825.083119333	715475.884291909	325339.067501802	784230.961633118	915552.587554674	263590.025964651	413297.933422996	80704.0174697554	126853.96453799	314140.710921907	218360.332511988	796856.378564331	734112.455487775	798853.080920892	617724.534217554	361544.185981297	135239.910191976	428261.177138558	479495.703302731	477926.910985626	590109.567008353	787910.362390555	794314.375371994	825222.76894159	787565.326686812	806836.278001158	864928.040059534	361969.810695613	392950.645735665	704345.274277063	706105.733665168	845561.129932953	883590.004981598	891662.775687295	469775.542443772	368911.467176934	893343.16275277	917219.084807302	765744.892746789	906054.898157012	925959.48417734	938202.314314232
Cutibacterium namnetense	35174.4500839269	27709.5276357361	31808.5998573799	27369.5531533443	20717.7990838617	27009.6672183725	26124.011836778	25902.4453142158	28839.3927948501	28638.1716793908	48544.9049063895	52730.3577522733	25315.7509351329	31979.5438300209	5627.17177642534	11045.3373070182	31130.4050572509	26540.5073989035	17662.6651152759	18334.9407005329	20502.0034241346	21802.2972243914	32979.6540545277	9399.81961157885	20382.9492375486	27547.5801704838	29342.8843723697	23225.9249824879	19769.8169508634	31529.1933228413	33716.50848152	27587.0198920652	21291.8972912996	30309.6907900058	29445.952735628	27801.9692137029	23541.6391836989	42183.0268993946	46636.4892593868	38657.580284364	18134.9654479589	17800.7242632358	36333.6840885464	38360.41678871	36926.4334628942	42319.9056234671	37067.316865422	46315.6794362851	22984.2254721826	24921.6915582175	32451.3839473024	49646.8295143275	49394.6691022479	59479.2980713579	64785.9623535664	42594.7355118943	52227.9376312154	20633.5622141688	29800.9916160935	66127.899182018	13442.6413557528	24275.1123994446	22611.4611395259	47337.5797051345	48140.9320940133	26578.0880885009	23306.3385969719	25268.7466811951	32300.4989645161	35714.7725005149	24893.2619130831	56802.588472379	55832.0186481141	43644.1733644687	46709.8799179876	43541.0950634333	47947.5559093031	16005.0728999844	22886.2471522002	48266.1947599531	53223.5013903401	49383.8383441379	56344.6882230787	20642.1935503475	30916.2132721651	39836.4055437103	15447.5437286706	25956.0351573567	5489.12786438268	8947.83778091099	18706.0252538173	13074.5557982411	51460.4124634193	47830.474774381	56606.5541844361	49657.6974213596	26764.8316222926	17121.9556621789	36578.4196521113	34371.102876084	30016.0836525934	40158.275566585	37331.2676625149	35825.4835610248	45651.1967486906	43006.5612342995	38279.115298733	46616.8656233249	17042.3543301514	20163.2090925563	32793.2142031556	36634.3946957388	39519.5956037584	37639.4217343527	32856.2810453449	24972.9947828509	20327.3841528558	18259.2705009619	17707.8421818784	25997.934022447	26086.5951381562	27963.8583749034	26129.6117627784
Cutibacterium humerusii	15122.1236227429	13337.4725543243	13759.5810858625	12652.058425101	11153.7081295306	12712.9398843111	14067.073286995	14322.383490553	11590.9166389058	13442.7840440022	18702.9247165296	21611.6645004699	8981.63988580252	14652.9748906943	2010.9189083301	3809.86868576771	10231.2730432365	9289.09157777286	10739.7050981261	11146.1723863679	10411.4671530454	11310.9059433893	15239.8676132012	20539.8855677023	8457.83223463739	11413.743961976	13017.0624614059	10998.0754733791	10665.9443853243	14386.5529437961	16902.6257497558	12858.1391891852	11224.6516960313	12319.1644053379	12753.6704244379	10752.1376666446	9287.41023800944	14562.8211088259	16982.0512069328	13803.2048990486	10056.2950554254	10005.4602590784	15361.8999697505	17964.6001255662	16753.510869547	19272.9260346104	15392.7212211002	19809.8283578573	11843.0219486718	13215.3150725758	14181.8612389047	18307.1274232869	18697.2692901517	19126.2734928785	22418.6242951604	9961.73816363816	14642.0865866998	4354.66632373828	7974.39175802045	12888.113400348	2685.02060660342	11636.2932703839	11667.7815405249	17461.1658340721	19377.2075182655	12299.4260906923	10449.7339402857	11636.1554024639	14638.1653521668	17228.1603428818	11389.8729854203	21138.8009502558	22024.1665420799	16559.3074718741	18892.1905055645	16499.2068238432	18538.2511026585	5785.70927196208	8945.00850796991	17186.9944729453	20450.3649506327	18539.7766020497	22141.3410948031	15292.8872247729	15907.0638873649	16974.4487488005	6754.54737631406	12358.044508312	2037.92594583347	3763.11359417567	7832.77246088303	5256.68452123315	20312.0615886758	19705.2482162218	21695.7292830297	20349.0830304581	11721.3845944026	4838.53155806325	12235.9007888807	14604.2942335721	11191.2979614869	16548.2565842134	23912.894145271	26363.0773324144	21449.1051170178	21125.1948750375	25368.6672072572	25996.7577992265	9758.69545479388	11245.9077942271	18763.6986801235	21805.1551464892	20728.8520499899	15637.6360505477	14845.4621143233	10297.2733867831	8769.24847832321	9574.5114605158	9768.62336000788	11427.0789500972	11946.1421436104	14954.0979052915	14055.996673207
Lawsonella clevelandensis	3162.90397045449	1553.61588921915	2341.3911415085	1955.28258790251	2335.59844404078	8377.63177192514	394.387001211009	355.529919866071	900.020426537899	507.850698669739	2947.97762489687	3735.52245481526	17123.1706556465	28215.8094845316	3305.44261636652	12604.534474017	7871.97766405587	8843.6873228357	1433.31084378696	313.056995503112	192.133653533021	99.2724324209488	54392.1824022002	8662.91480926711	4696.00402646282	19132.3794893529	39982.9555010159	2200.12139084986	2292.5295490274	7718.27435619637	6727.10684052691	3540.17589070063	1379.84038788425	52318.7337865609	37895.7209264569	47423.4846266158	40128.0800770832	75368.2626092995	82488.9188207479	81948.8928854958	7824.49013084223	4246.84062409864	8372.81713069677	5879.45652692556	8988.85804858189	5119.81320337496	22892.002522574	20321.7538898207	43155.3461257069	37696.8408861185	20516.4953852707	91030.6967602146	126367.499642872	17637.5209732954	24302.2431532345	48599.9661503874	79259.1607328006	53381.113860197	86221.3346578102	117053.564456007	32635.6315180784	3261.454746285	1832.19676640272	7177.06848711156	7514.03960163142	13101.7351928242	29989.4163293041	31855.5724435375	22979.0521397519	28215.5504040946	7500.64478677734	7353.29161915514	6161.10584171158	76660.0688710652	87583.7056423844	56140.666284285	52353.8746349855	25246.0837197935	28570.0685702105	40607.7229037974	40460.7594282325	34016.217051494	40732.9148452108	38363.3229167166	5054.54977881343	6118.94304808546	48940.8348673156	126228.112846073	24500.9788095943	52741.9089654713	99848.034799307	81103.3625042294	2241.48577734408	1959.06646385366	1263.32231104551	1423.33528103967	12370.3632255584	14836.1867957134	52972.9012566705	56643.5401757928	36554.0668636649	38221.9504443214	67021.7511087102	28749.5508525202	5130.3830683837	1358.20358912753	33540.774468848	11902.7811289894	41524.3939756628	31616.7161283664	95872.3186258177	86436.5296512685	20900.4718850351	4270.05440388286	3340.34810141446	2330.27340392217	2118.36644078513	829.079960747009	511.74008546633	7594.2510651952	3139.08317138481	478.017086374604	123.912688872887
Micrococcus luteus	86.3620774697296	67.6641638005102	127.68580806505	84.416336782457	672.515551513613	8975.03527979849	109.274416744134	111.064119663006	186.082608748201	114.902375099948	2871.85299372102	5058.80466300426	59990.9162376623	24950.5742841547	11156.3499698388	16349.3671889261	36826.8539101508	23910.0889127453	464.676588229199	79.7479938606248	875.625486118943	531.117501932067	24638.2888052955	5866.59162164967	59582.9428207087	60590.6217810755	11232.4465625147	26664.7512466021	12585.7847825044	633.046914293806	403.49139979655	197.817814169156	70.3927762722026	26555.3615975947	25520.8761547614	79002.4278806346	45722.3340216838	13306.5368745236	11224.629239017	17818.6077358874	589.742622427072	299.615167738251	932.714831157394	1043.84521666853	7692.00558857436	3986.66273335726	44536.1849224473	31025.6224131879	17423.0297423796	11221.2456772973	24240.42623254	78112.1175380204	58194.0520826554	62694.9028275966	60235.0636626855	384405.273712622	271175.790773028	532479.723652886	393710.013577521	229103.757788785	712583.638211572	43.779753166468	25.8593867582643	109.461126970965	204.112509075234	1058.90621951602	6113.16754163642	13531.8359804249	1616.90524383405	2180.43897271912	1767.76664422949	363.131822172495	363.244499186944	6134.04087749771	5528.22444240167	54408.4651620798	53634.1359647867	15749.3050248861	18941.2188167072	20550.1623025871	18872.7012391119	6969.16593033012	7808.43825975499	77686.9174025919	725.90462665345	2346.36516283703	311310.410306213	159818.240279627	488668.939840753	364994.435615991	195732.439450711	187535.144382969	1919.24622484573	1471.70944004227	2405.40672501717	1778.91886917194	51400.7546980496	361857.830123922	78754.3732126195	94465.2768901538	69642.0317776994	57500.2255593249	507.53943370403	145.201817394617	1307.17560142263	379.842467350816	28477.7368239793	13530.2905864825	91466.1895235113	58328.3156389287	43485.5751926355	42743.1895770001	33159.4482393109	210.903319060911	199.759327326881	213.566291769796	128.647585793741	812.229432229744	307.242246541764	12073.2700891269	1874.7293527792	321.234803696199	93.88429139366
Cutibacterium granulosum	15139.4588259898	15266.8955955889	194311.019411932	221861.66041761	35409.6762009532	11575.3217456202	28337.4991278239	20267.6362995046	10208.3815326261	7182.50344332965	23833.7096290027	26680.9067189128	10447.2455518712	9223.18315226862	2119.61282205095	5430.683179088	10264.5361422716	14038.3470313057	1514.16984413284	1294.68533105204	2324.62556144304	2042.4631950191	27333.3496722749	6809.783603093	4669.44023534911	6286.49728511703	7044.17093467098	4629.04330076811	2186.49432143766	10448.3120512174	13558.1329024644	81304.4199592113	148570.817089961	35379.8636468925	71092.343636699	16685.8035977291	12669.0627477214	25024.6590721652	25252.8225697832	21263.9121732486	4529.40422799303	4295.95285854813	3735.87088500154	5630.61675250719	10715.0078937571	10784.2190601199	4960.95536083493	4136.07946013533	8152.35800395094	5744.03340073099	6427.76124330129	7100.43342822245	7315.46704105759	31993.7654621916	51876.6724193566	2760.46327280367	3392.79780817556	1550.05975678973	2676.30498501826	3310.86511817895	928.248460279829	1732.09936232912	1581.136000394	28043.8648855616	60018.2740810327	7822.79150040147	6188.04703644451	4556.92400642853	6681.8514446233	6211.0263593608	5540.92175276925	5333.44177003332	9409.97664033849	10657.8760547444	10255.7517368012	11905.9961863407	13332.4307624667	5674.28965042135	7045.79952758586	13436.2171269891	14189.3876126273	12524.0059018913	12955.1506984343	22468.9836522675	136972.125984945	868.06453126405	2649.8571977274	3160.18977388215	1713.59968067147	1765.61136503686	2401.38345755857	2583.3163216759	28668.7967741925	77695.100019488	93281.43700331	275826.930539702	236408.591142836	6793.90104890035	17402.1981675455	13842.8616466819	12516.5912978828	7119.56947218369	67158.8804533229	100182.541050835	84778.3658079478	131550.919915226	7242.8015196593	4965.34016330263	7380.25660178639	8284.30572398679	8057.45621798625	7411.67077710201	4872.08089166976	26346.429794755	28363.6507171045	476510.235283198	582918.170672489	45918.8980572709	28989.5038384579	11476.2436981958	9705.30750960556	16941.6515930343	12513.1470644249
Corynebacterium kefirresidentii	821.797023845728	383.217590535832	112.498845337932	78.0251210755141	1251.50818677569	13181.1014364962	451.550897689708	168.790679547967	866.990821255708	436.431539283971	763.80746321811	908.045789557188	4947.79502022621	9339.18844428111	4420.76438831128	4373.84077210657	7724.33157620834	4982.15901789133	1644.92507387785	204.530567525067	81.8124627072739	51.2389572621695	5189.80736995027	283.077784185649	8759.34800412076	9444.31737439022	8043.27968689341	2170.04825044222	1920.89782210347	967.969691702923	699.648863991866	181.471130709695	83.5797988790661	5546.56018332476	4712.60631603295	12536.3992325323	11770.2423614274	8601.43748456909	8808.25068162518	11743.9849342227	35638.3891768062	14812.8511784036	745.878284747624	494.753620427945	3821.55557462981	2011.58515653364	7651.40554339675	5720.51853804982	9596.82884748639	7579.93410096372	9301.6788051033	4029.39269482408	4172.78957458463	1377.89439586826	1585.99092240672	5750.77900181213	7706.18116767788	29153.778848546	23850.1417244796	6950.32080837912	7058.94713762267	1498.34369043364	676.082609862225	399.551966379935	399.002380659182	4782.88676711336	14547.4359897068	10408.0927125363	9398.03603081189	9396.67021499798	5912.72819055114	668.17497317811	541.146326659174	2367.8598641043	2395.21312607502	7786.54546756978	6944.80158153758	6566.63468912109	7206.38444587676	9486.87902424267	8902.70326493081	7533.84191967374	6978.85191610117	13820.0309396462	890.642939514112	88.342029611067	11503.1160423268	12389.8312590517	11833.4379665833	14569.1017608668	14553.6005744104	20113.8367581314	6116.0336800852	5079.42775508793	422.862432382668	360.960407822354	4235.4598340778	9521.92616884811	5225.12654562386	9894.51865873663	8438.20117353404	8069.78678537825	414.082765288129	123.458800776743	185.768682533477	66.0582234164229	1949.80111020485	864.73111070605	48937.2809678707	45134.89241993	4519.3918094015	4041.53833138719	1564.57567378911	4717.33605106515	3298.25078482752	134.898729907365	94.9591627463445	2340.48650947263	968.372901190727	23278.8798035756	5207.83296263933	982.724274618607	216.259024653056
Cutibacterium avidum	3910.46785738207	3337.66973678777	6548.05742285611	6469.57999742423	3129.69888818772	3676.28870751062	3543.49145401046	3501.12546079858	2856.56576802455	3361.92802858824	4662.99034224031	6344.04021367818	2559.57563163174	3938.65167876349	1274.07542919024	1592.33379741738	3099.94901426855	3843.83199863453	2404.6214421545	3107.37914926957	2861.21214448872	3228.47443012379	4452.22694232925	3096.50890157208	3096.93404281991	3924.20684234686	4129.22681362161	3059.08946896637	2623.08040269572	3646.2928003609	4238.38059112644	4256.62503808325	4229.50463307182	4090.36202645785	4197.28280958927	4365.77899322518	3585.10733421931	4754.5947537142	5641.78988510814	4896.52221583514	2270.67139566919	2166.10224809346	4018.48316588416	4840.15450479408	3301.92732983591	3612.52278652738	3230.94413328881	3633.27225715846	3374.82229040348	3418.36941892436	3253.9985193721	4955.87052738399	5214.05470789666	5579.98879371548	6682.9046750719	3157.57919334267	4613.88931590038	1556.34977372388	2740.26697062959	3953.97114139931	985.038890319118	2871.17260128623	2935.85929748411	6109.27097951353	7111.31144513737	3609.71032759879	3992.22885457047	3504.43008423212	4351.83465714496	5380.72653279434	3245.49300646883	5200.86659764994	5644.46728528669	4212.0171358894	5172.05008047301	4423.03624977662	5326.14818527238	4075.55734259323	4917.39106850813	4664.94006314237	6157.56759328415	5163.89019570191	7002.90471564067	3635.77471434918	5797.12043787328	5131.69472953806	2252.72323027348	3339.94962987557	2132.71468282448	2862.88693837763	2500.25220193089	2187.74457789818	3992.56494711842	4599.05911848778	5104.2947070101	6907.62459821348	4099.55167608967	2024.34268642195	3395.44167524921	4795.46186321017	2428.2705150099	5592.20094746014	4564.86581470273	5376.5006686591	6199.12192336587	7454.88098492756	3580.57047740184	4194.0718090017	10325.5172636047	9561.04623426024	3337.02428201257	4501.17300644596	3616.08655828872	4317.99002565537	4070.61957871576	9865.63259324425	10897.0929488613	2750.10316994267	2420.05041681002	3385.22994775612	3132.62765972939	3707.51224882076	3315.24940462724
Staphylococcus epidermidis	1650.64105482291	1641.57063647176	54.0751723851574	127.978372034917	2412.51074495804	2777.15528251864	50.6693875566111	8.81491031853953	28864.0744566081	62833.2912192317	6183.98656921877	13599.7121677314	20412.4303521553	18375.0626384869	9534.35788554914	5115.8482959625	12245.7243267182	16817.4226124606	1378.29674133837	1387.49782893478	1033.48797525327	454.955014209725	6427.52124832243	1708.15511008033	7923.53589809226	6933.34287061438	5388.63571605423	3533.20859930474	2403.25902765529	1613.82577298985	2966.68163699356	272.210933406838	278.493737946693	11533.0257561299	9758.99487915504	6533.00229539299	6578.96368090905	5289.55122475237	4481.76841341636	4347.55098165781	3283.77860458519	4487.69573211726	2581.32119388284	4575.26812284204	506.026347154875	303.457944725771	3475.66522667755	2578.0876025157	1081.36943315746	1251.26342547761	1102.56769604364	5397.8517725771	26984.532145621	1052.04851423084	984.450435431842	706.301349450852	1388.68797132356	1153.51835550709	1979.76310781584	1416.01701175551	592.701238588112	1117.68910848501	828.573368992861	166.737599936584	233.099333436102	1099.84597002284	2411.59777090179	3473.74235182191	2539.39041495066	5227.95299274079	1257.34102823734	3222.29240721357	6208.904805845	2224.83594867606	4392.97914560972	3993.17005399447	4154.2128768142	4444.96327987565	3101.92398478911	3632.68203016713	3657.42015651606	4067.67178207608	5530.17815746163	7504.06940720608	7303.19775758179	1010.99372524269	7996.29552820787	6620.12533116354	4642.94316278295	5178.92507796189	4860.22617605226	5478.36489099314	34433.9961594987	59481.6279105552	490.812728180919	790.701547702515	20983.0191553757	2811.4436153148	13323.52452373	3864.93320094	5638.43930678079	3643.61546689629	541.263236932171	1038.7007846805	251.921753690162	156.167349166183	4033.05741632214	3091.31171563391	36200.9999131535	75245.2019248548	2528.72139007615	4075.06365761884	1409.88841914193	2097.80562436222	3226.31974395701	115.608052075213	285.865103253251	6785.9096471749	7985.07519074649	4875.55924807535	1948.66459174722	218.2573916298	75.8545546197892
Actinomyces viscosus	839.177690981155	495.805951850962	873.037711904149	624.98091826663	318.82684658306	902.045671175558	493.23889515258	532.963885654532	574.785103532041	540.700230206201	3141.05475327181	2561.43686087276	4629.24961059785	2592.33669916201	555.844555998791	881.176066389124	6239.39927756902	2002.05771417188	150.400765137496	70.0387317006404	123.346721279724	97.2868721814055	4304.69418555529	694.072892826836	591.59070269664	1043.29317170502	1065.74205885523	376.433499381241	395.617903731154	2745.32691107091	1771.2561800838	668.879804573876	360.174828784675	2533.57292055577	3471.85983633669	2937.24351356902	2037.37355717664	2224.65208362681	2385.29841310082	1771.26209178672	350.308018704829	243.749907912794	1009.49267611071	970.617845044431	1496.95699494612	941.125257928642	1898.24501220515	1391.88373093801	5250.00640570345	3222.59748723237	3060.52979536426	2198.22205240996	1797.69012875353	1761.27979405653	1653.19240505261	1667.76365961126	1655.5097937833	1528.05174647253	1830.70402093216	2916.90672282745	1383.25403571849	416.011024155055	210.282416211363	1288.73698976103	1145.87171147535	1149.92237841226	913.958116437117	2124.31282238596	1213.89937985634	1161.67028000123	921.576821221858	1533.35761342158	1512.75232700956	1282.18136364656	1095.3399576088	1737.43635961978	1952.74501268363	943.963123838972	1235.36918762804	1759.50506425957	1803.5864869743	1773.56849650169	1566.69214207505	2201.43504773729	818.428457706342	1028.65775813101	1396.46398705211	1851.24132569123	1205.04606042696	1155.52954313847	1146.75020713246	1083.83956891288	1739.76543453481	1402.14220592731	1918.66249735281	1414.56341018441	1414.64776741264	2556.14839072513	3452.62594415066	2690.31557872079	1670.91883622096	2858.03308420609	1378.87383584744	1124.89172139557	1555.42006931504	1196.22411420507	1156.39492900599	1695.67964015877	1053.15650189761	1323.29773403789	1349.29796718658	1576.40932225525	1658.77777522521	911.001198538556	686.048721987804	811.190758738361	572.202078939678	169.233647193633	117.686253581418	692.220698475422	574.60587968758	487.621120482356	497.86927952376
