"V1"	"SMGC_103.fa"	"SMGC_121.fa"	"SMGC_122.fa"	"SMGC_123.fa"	"SMGC_134.fa"	"SMGC_143.fa"	"SMGC_147.fa"	"SMGC_159.fa"	"SMGC_170.fa"	"SMGC_182.fa"	"SMGC_184.fa"	"SMGC_19.fa"	"SMGC_20.fa"	"SMGC_200.fa"	"SMGC_203.fa"	"SMGC_204.fa"	"SMGC_209.fa"	"SMGC_212.fa"	"SMGC_213.fa"	"SMGC_218.fa"	"SMGC_219.fa"	"SMGC_221.fa"	"SMGC_226.fa"	"SMGC_23.fa"	"SMGC_239.fa"	"SMGC_24.fa"	"SMGC_241.fa"	"SMGC_244.fa"	"SMGC_256.fa"	"SMGC_258.fa"	"SMGC_262.fa"	"SMGC_265.fa"	"SMGC_271.fa"	"SMGC_275.fa"	"SMGC_28.fa"	"SMGC_286.fa"	"SMGC_297.fa"	"SMGC_299.fa"	"SMGC_301.fa"	"SMGC_302.fa"	"SMGC_303.fa"	"SMGC_304.fa"	"SMGC_305.fa"	"SMGC_314.fa"	"SMGC_316.fa"	"SMGC_324.fa"	"SMGC_326.fa"	"SMGC_329.fa"	"SMGC_33.fa"	"SMGC_336.fa"	"SMGC_337.fa"	"SMGC_338.fa"	"SMGC_340.fa"	"SMGC_343.fa"	"SMGC_345.fa"	"SMGC_35.fa"	"SMGC_357.fa"	"SMGC_36.fa"	"SMGC_362.fa"	"SMGC_37.fa"	"SMGC_375.fa"	"SMGC_38.fa"	"SMGC_383.fa"	"SMGC_384.fa"	"SMGC_385.fa"	"SMGC_390.fa"	"SMGC_392.fa"	"SMGC_395.fa"	"SMGC_416.fa"	"SMGC_418.fa"	"SMGC_434.fa"	"SMGC_436.fa"	"SMGC_45.fa"	"SMGC_464.fa"	"SMGC_469.fa"	"SMGC_473.fa"	"SMGC_481.fa"	"SMGC_485.fa"	"SMGC_490.fa"	"SMGC_506.fa"	"SMGC_507.fa"	"SMGC_51.fa"	"SMGC_512.fa"	"SMGC_515.fa"	"SMGC_523.fa"	"SMGC_528.fa"	"SMGC_53.fa"	"SMGC_531.fa"	"SMGC_538.fa"	"SMGC_539.fa"	"SMGC_540.fa"	"SMGC_541.fa"	"SMGC_544.fa"	"SMGC_545.fa"	"SMGC_55.fa"	"SMGC_56.fa"	"SMGC_573.fa"	"SMGC_590.fa"	"SMGC_601.fa"	"SMGC_611.fa"	"SMGC_617.fa"	"SMGC_619.fa"	"SMGC_62.fa"	"SMGC_66.fa"	"SMGC_7.fa"	"SMGC_70.fa"	"SMGC_75.fa"	"SMGC_76.fa"	"SMGC_77.fa"	"SMGC_79.fa"	"SMGC_84.fa"	"SMGC_85.fa"	"SMGC_88.fa"	"SMGC_90.fa"	"SMGC_92.fa"	"SMGC_94.fa"	"SMGC_96.fa"	"SMGC_97.fa"
"SMGC_103.fa"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.199756	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_121.fa"	1	0	1	1	1	1	0.212235	1	1	1	1	1	1	0.205941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.206276	1	1	1	1	1	1	1	1	1	1	1	1	0.229469	1	1	1	1	1	1	1	1	1	1	0.224456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.217398	1	1	0.207845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_122.fa"	1	1	0	1	1	1	1	1	1	0.22718	1	0.231545	1	1	1	1	1	0.187815	0.190096	1	1	1	1	0.232185	1	1	1	1	0.227997	1	1	1	0.222142	0.207074	1	1	1	1	0.217699	1	1	0.225326	0.0960949999999999	1	1	1	1	1	1	1	0.124357	0.219795	1	0.122984	1	0.214046	1	1	0.225275	1	1	0.102179	1	1	1	1	1	0.227938	1	1	1	1	1	1	1	1	1	1	1	1	0.223267	0.22685	1	1	1	1	1	0.214778	1	1	1	1	1	1	1	0.223837	1	1	0.231941	1	0.224327	1	1	1	0.227843	1	0.219327	0.221848	0.203291	0.220843	0.188523	0.204207	0.201499	0.10265	0.102734	1	1	1
"SMGC_123.fa"	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0.088118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_134.fa"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.212948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_143.fa"	1	1	1	1	1	0	1	1	1	1	0.233472	1	1	1	1	1	1	1	1	1	1	1	0.197561	1	1	1	1	1	1	1	1	1	1	1	0.216115	1	1	0.233905	1	1	1	1	1	0.238467	0.234841	1	0.241172	0.241899	1	1	1	1	1	1	0.219153	1	1	0.217924	1	1	1	1	1	1	1	1	0.242991	1	1	1	1	1	1	1	1	1	0.241825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.239399	1	1	1	1	1	1	1	1	1	0.239999	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_147.fa"	1	0.212772	1	1	1	1	0	1	1	1	1	1	1	0.078325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.076743	1	1	1	1	1	1	1	1	1	1	1	1	0.219503	1	1	1	1	1	1	1	1	1	1	0.141671	1	1	1	1	1	1	1	1	1	0.078438	1	1	1	1	1	1	0.214843	0.0730270000000001	1	1	0.076086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_159.fa"	1	1	1	1	1	0.242357	1	0	1	0.233558	0.229138	0.234715	1	1	1	1	0.249034	1	1	1	1	0.107314	0.236556	1	0.250605	1	1	1	0.232824	0.25104	1	1	0.22614	1	1	1	1	0.229958	0.23968	0.229549	0.230328	1	1	0.221102	0.228069	1	0.223606	0.229807	0.231754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.250566	1	1	0.239821	1	1	1	1	1	1	1	0.154447	1	0.241489	1	1	0.250461	0.235933	1	1	1	1	0.24781	1	0.239103	1	0.236008	1	1	1	0.23012	1	0.227855	1	0.230526	1	1	1	1	0.240958	0.211908	0.237674	1	0.229099	0.23101	0.236463	0.235016	1	1	1	1	1	1	0.215679	0.209455
"SMGC_170.fa"	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0493749999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"SMGC_182.fa"	1	1	0.229414	1	1	1	1	0.233316	1	0	0.240534	0.2217	1	1	1	1	1	0.222193	0.22711	1	1	0.235791	1	0.235756	1	1	1	1	0.204444	1	0.167963	1	0.144803	0.224007	1	1	1	0.238877	0.228614	1	1	0.228597	0.227088	0.238272	0.239147	1	0.236568	0.240209	1	1	0.229313	0.228465	1	0.229075	1	0.229641	1	1	0.238415	1	1	0.226479	1	1	1	1	0.240081	0.2114	1	1	1	1	1	1	0.237504	1	1	1	1	1	0.227346	0.18984	1	1	0.228048	1	1	0.219159	1	1	1	1	1	0.244264	1	0.147465	1	1	1	1	0.234109	0.223921	0.235012	0.234739	0.209732	1	0.147406	0.143751	0.219726	0.1951	0.227098	0.221893	0.221741	0.22607	0.223546	1	0.241142	0.237467
