species	total_length	completeness	draft_quality
Bacillus pseudofirmus	4249248	98.68	high
Methanococcus voltae	1936387	99.05	medium
Corynebacterium jeikeium	2476822	100	high
Xylella fastidiosa	2731750	99.59	high
Vibrio cholerae	4033464	99.86	high
Streptococcus pyogenes	1852433	100	high
Neisseria gonorrhoeae	2153922	99.82	high
Lactococcus lactis	2365589	100	high
Shigella flexneri	4828820	99.7	high
Sinorhizobium meliloti	6691694	99.28	high
Chlorobaculum tepidum	2154946	98.9	high
Sulfolobus solfataricus	2992245	100	medium
Rickettsia conorii	1268755	99.46	high
Caldanaerobacter subterraneus	2689445	99.04	high
Zymomonas mobilis	2056363	100	high
Xanthomonas campestris	5076188	99.64	high
Methanopyrus kandleri	1694969	96.74	medium
Chlamydia pneumoniae	1225935	99.49	high
Pyrobaculum aerophilum	2222430	100	medium
Streptococcus agalactiae	2160267	100	high
Pyrococcus furiosus	1908256	99.5	high
Fusobacterium nucleatum	2174500	99.95	high
Methanosarcina acetivorans	5751492	99.84	medium
Buchnera aphidicola	641454	98.77	high
Xanthomonas oryzae	4941439	99.82	high
Streptococcus mutans	2032925	100	high
Tropheryma whipplei	927303	76.27	medium
Bifidobacterium longum	2260266	100	high
Pseudomonas putida	6181873	99.97	high
Chlamydia caviae	1181356	99.49	high
Clostridium tetani	2873333	98.28	high
Staphylococcus epidermidis	2564615	99.81	high
Chromobacterium violaceum	4751080	99.04	high
Buchnera aphidicola	618379	97.18	high
[Mannheimia] succiniciproducens	2314078	100	high
Coxiella burnetii	2032674	100	high
Enterococcus faecalis	3359974	99.53	high
Pseudomonas syringae group genomosp. 3	6538260	100	high
Bacillus cereus	5427083	98.18	high
Bacillus anthracis	5227293	99.23	high
Mycobacterium avium	4829781	99.28	high
Helicobacter hepaticus	1799146	99.94	high
Prochlorococcus marinus	1751080	100	high
[Haemophilus] ducreyi	1698955	99.43	high
Geobacter sulfurreducens	3814128	99.35	high
Wolbachia endosymbiont of Drosophila melanogaster	1267782	99.79	high
Rickettsia typhi	1111496	99.66	high
Bacillus anthracis	5228663	99.23	high
Treponema denticola	2843201	100	high
Picrophilus torridus	1545895	99.59	medium
Methylococcus capsulatus	3304561	99.2	high
Cutibacterium acnes	2560265	100	high
Wolbachia endosymbiont of Brugia malayi	1080084	99.15	high
Idiomarina loihiensis	2839318	100	high
