gotu	covered_length	total_length	coverage_ratio	strain
G000007145	4730593	5076188	0.9319184001853359	Xanthomonas campestris pv. campestris str. ATCC 33913
G000299455	4377255	5437407	0.8050261825167768	Escherichia coli O104:H4 str. 2011C-3493
G000026325	4254104	5358200	0.7939427419655855	Escherichia coli UMN026
G000008865	4171853	5594477	0.7457092057041257	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G000026345	4109082	5132068	0.8006678789135296	Escherichia coli IAI39
G000006925	4054458	4828820	0.8396374269490269	Shigella flexneri 2a str. 301
G000183345	3886001	4894879	0.7938911258071957	Escherichia coli O83:H1 str. NRG 857C
G000012005	3703285	4560911	0.8119616892326993	Shigella dysenteriae Sd197
G000233655	3230010	3784483	0.85348778155431	Brachybacterium paraconglomeratum LC44
G001484935	2949292	4081329	0.7226303000811746	Acinetobacter johnsonii XBB1
G000725405	2879669	3113642	0.9248555228892724	Dermacoccus nishinomiyaensis M25
G000219605	2816069	4547930	0.6191979647883763	Pseudomonas stutzeri CGMCC 1.1803
G000017645	2788078	5625098	0.49564967579231506	Xanthobacter autotrophicus Py2
G001275345	2759339	2854447	0.9666807616326385	Kocuria palustris MU14/1
G000314575	2654179	3664641	0.7242671246651445	Brevibacterium casei S18
G000008345	2560271	2560265	1.0000023435074104	Propionibacterium acnes KPA171202
G000204235	2559834	2623290	0.9758105280010979	Propionibacterium humerusii P08
G001592855	2525174	3560129	0.7092928374224642	Acinetobacter sp. BMW17 ASM159285v1
G000338055	2523480	3257466	0.7746757755875272	Brachybacterium muris UCD-AY4
G001828765	2521791	3474931	0.7257096615731363	Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16 ASM182876v1
G001586215	2514536	2737971	0.9183939493880687	Corynebacterium simulans PES1
G000622145	2506244	4428895	0.5658847184229926	Paracoccus yeei ATCC BAA-599
G000145515	2504298	2505472	0.9995314256156126	Propionibacterium acnes HL030PA2
G000144735	2503612	2503840	0.9999089398683622	Propionibacterium acnes HL063PA2
G001068545	2496797	2531263	0.9863838723988776	Staphylococcus epidermidis 1056_SEPI
G000007645	2485826	2564615	0.9692784297058233	Staphylococcus epidermidis ATCC 12228 ASM764v1
G000145555	2476317	2476421	0.9999580039096745	Propionibacterium acnes HL037PA1
G900113395	2464025	2474443	0.9957897595539683	Staphylococcus epidermidis NLAE-zl-G239
G000219275	2462121	3184320	0.7732014998492613	Acinetobacter lwoffii WJ10621
G001471555	2433225	2602401	0.934992339766239	Staphylococcus capitis FDAARGOS_173
G000221145	2428915	2430672	0.999277154630489	[Propionibacterium] namnetense SK182B-JCVI
G000186205	2427774	2541845	0.9551227553214299	Staphylococcus epidermidis FRI909
G000455165	2409175	6137283	0.3925474839599217	Mycobacterium iranicum UM_TJL
G000308395	2396405	2406624	0.9957538028375018	Staphylococcus epidermidis AU12-03
G000443975	2394884	2408837	0.9942075781798436	Staphylococcus epidermidis E13A
G000245655	2386997	2480412	0.9623389178894474	Staphylococcus epidermidis VCU057
G001028645	2386096	2503265	0.9531935292507985	Staphylococcus capitis subsp. capitis
G001553955	2383052	2649137	0.8995578560112217	Moraxella osloensis CCUG 350 ASM155395v1
G001814805	2382019	2406825	0.9896934758447332	Staphylococcus sp. HMSC062B11 ASM181480v1
G000023205	2367450	2501097	0.9465646474327065	Micrococcus luteus NCTC 2665 NCTC 2665 (Fleming 2665)
G001914135	2363098	2402586	0.9835643760514712	Staphylococcus epidermidis isolate 0123W_32_35
G001632805	2341409	5029817	0.46550580269620145	Mycobacterium chelonae CCUG 47445
G000368825	2333033	3535739	0.6598431049350645	Acinetobacter ursingii DSM 16037 = CIP 107286
G000934225	2312132	2339868	0.9881463398790017	Staphylococcus epidermidis 949_S8
G000023925	2309533	2785024	0.8292686167156907	Kytococcus sedentarius DSM 20547
G001553935	2306247	3042917	0.7579066402402694	Actinomyces oris T14V
G001054195	2293567	2355597	0.9736669727461871	Corynebacterium aurimucosum 1237_CAUR
G001188545	2234377	2855818	0.782394746443926	Enhydrobacter aerosaccus CGMCC9176
G000763785	2233498	3423189	0.6524611991917478	Paracoccus sanguinis 4681
G000577555	2208011	2472125	0.89316316933812	Corynebacterium jeddahense JCB
G000159115	2167003	2437186	0.8891414114474644	Corynebacterium accolens ATCC 49725
G000805675	2111298	2663401	0.7927075194460016	Corynebacterium minutissimum ATCC 23348
G001679275	2111095	2637244	0.8004928630039542	Moraxella osloensis CCUG 67237
G000463665	2107042	2128234	0.9900424483397973	Cutibacterium granulosum DSM 20700 PG_DSM_assembly2012
G001291445	2103218	6210127	0.3386755214506885	Mycobacterium mucogenicum CSUR P2099
G001902615	2079832	5830096	0.3567406094170662	Pseudonocardia autotrophica DSM 43083
G000747315	2075171	2328278	0.8912900435429103	Corynebacterium ureicelerivorans IMMIB RIV-2301
G000367205	2067996	2526138	0.8186393617450828	Cutibacterium avidum 44067
G000164695	2058170	2506025	0.821288694246865	Rothia dentocariosa ATCC 17931
G000173655	2022787	2513912	0.8046371551589714	Corynebacterium amycolatum SK46
G000455445	2010497	3217068	0.6249470014311168	Prevotella timonensis 4401737 = DSM 22865 = JCM 15640 4401737
G000183685	1988542	2268397	0.876628738267596	Staphylococcus hominis subsp. hominis C80
G000296405	1970152	2118285	0.9300693721571932	Turicella otitidis ATCC 51513 Turi_otit_ATCC_51513_V1
G000297495	1896603	3139099	0.6041870613191874	Janibacter hoylei PVAS-1
G000282775	1882001	4626799	0.4067609161322979	Pseudomonas luteola XLDN4-9
G001639025	1877966	2345615	0.8006284066225702	Corynebacterium afermentans subsp. afermentans LCDC880199
G000980895	1847679	3933945	0.46967585972859305	Sphingomonas sp. Ag1 ASM98089v1
G000763765	1777389	2639435	0.673397526364544	Rothia dentocariosa C6D
G000010125	1720699	2577899	0.667481154226756	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 ASM1012v1
G000143825	1678749	2349953	0.7143755641070269	Corynebacterium genitalium ATCC 33030
G000967825	1664899	4131609	0.40296625358304716	Paracoccus sp. 228 ASM96782v1
G000027165	1606081	2146611	0.7481937808014587	Streptococcus mitis B6
G000786655	1606059	3066141	0.5238046782584362	Kocuria marina SO9-6
G000186425	1604945	3151925	0.5091951743775629	Lautropia mirabilis ATCC 51599
G000014205	1590265	2388435	0.6658188311593156	Streptococcus sanguinis SK36
G000508625	1554759	2280313	0.6818182416185848	Varibaculum cambriense DORA_20
G000220835	1553145	2828172	0.5491692160165648	Actinomyces sp. oral taxon 448 str. F0400
G000454045	1551494	6371421	0.24350831627669872	Rhodococcus erythropolis CCM2595
G000009865	1548746	2697861	0.5740644162171439	Staphylococcus haemolyticus JCSC1435
G000091765	1538251	2043161	0.7528780159762251	Lactobacillus crispatus ST1
G000011025	1535381	2264603	0.6779912417319945	Rothia mucilaginosa DY-18
G000332735	1526972	2560716	0.5963066579815958	Staphylococcus warneri SG1
G000269805	1497489	3371034	0.44422245518734016	Actinomyces massiliensis 4401292
G001678905	1478831	2392314	0.6181592382939698	Dermabacter vaginalis AD1-86
G001055535	1429525	2266283	0.630779562834827	Arcanobacterium haemolyticum 64_AHAE
G000508745	1429024	1490671	0.958644798215032	Staphylococcus sp. DORA_6_22 Stp_DORA_6_22_velvet_1.1
G000010185	1405321	1986740	0.7073502320384147	Finegoldia magna ATCC 29328
G001427625	1403454	5804683	0.24177961139307694	Rhizobium sp. Root651 Root651
G000253395	1400078	1929905	0.7254647249476011	Streptococcus thermophilus JIM 8232
G000072485	1398302	4851126	0.2882427708536121	Stenotrophomonas maltophilia K279a
G001518815	1390017	4834356	0.28752888699135937	Pseudomonas oryzihabitans USDA-ARS-USMARC-56511
G001514435	1385333	1787436	0.7750392181873924	Streptococcus thermophilus S9
G000247715	1372667	5844299	0.2348728222152905	Gordonia polyisoprenivorans VH2
G000344275	1346596	2184662	0.6163864249938892	Streptococcus oralis subsp. tigurinus AZ_3a
G001552415	1340167	2686219	0.49890459415259886	Corynebacterium xerosis NBRC 16721
G001807435	1338805	2168922	0.6172674720437157	Actinomyces sp. HMSC08A01 ASM180743v1
